Time,ADC
0.0,497.0
0.01,554.0
0.02,504.0
0.03,562.0
0.04,497.0
0.05,561.0
0.06,509.0
0.07,567.0
0.08,520.0
0.09,579.0
0.1,526.0
0.11,576.0
0.12,514.0
0.13,569.0
0.14,508.0
0.15,568.0
0.16,511.0
0.17,561.0
0.18,514.0
0.19,565.0
0.2,501.0
0.21,546.0
0.22,570.0
0.23,756.0
0.24,579.0
0.25,498.0
0.26,501.0
0.27,558.0
0.28,512.0
0.29,568.0
0.3,521.0
0.31,574.0
0.32,526.0
0.33,574.0
0.34,537.0
0.35000000000000003,570.0
0.36,535.0
0.37,585.0
0.38,545.0
0.39,589.0
0.4,550.0
0.41000000000000003,590.0
0.42,552.0
0.43,586.0
0.44,548.0
0.45,579.0
0.46,541.0
0.47000000000000003,576.0
0.48,528.0
0.49,553.0
0.5,530.0
0.51,552.0
0.52,528.0
0.53,544.0
0.54,525.0
0.55,556.0
0.56,528.0
0.5700000000000001,544.0
0.58,536.0
0.59,552.0
0.6,534.0
0.61,548.0
0.62,535.0
0.63,548.0
0.64,533.0
0.65,549.0
0.66,540.0
0.67,545.0
0.68,545.0
0.6900000000000001,546.0
0.7000000000000001,559.0
0.71,560.0
0.72,556.0
0.73,544.0
0.74,554.0
0.75,532.0
0.76,537.0
0.77,532.0
0.78,534.0
0.79,521.0
0.8,535.0
0.81,522.0
0.8200000000000001,525.0
0.8300000000000001,506.0
0.84,562.0
0.85,701.0
0.86,633.0
0.87,456.0
0.88,506.0
0.89,498.0
0.9,528.0
0.91,514.0
0.92,526.0
0.93,512.0
0.9400000000000001,537.0
0.9500000000000001,507.0
0.96,541.0
0.97,510.0
0.98,544.0
0.99,516.0
1.0,543.0
1.01,512.0
1.02,560.0
1.03,511.0
1.04,554.0
1.05,509.0
1.06,555.0
1.07,507.0
1.08,546.0
1.09,496.0
1.1,531.0
1.11,478.0
1.12,521.0
1.1300000000000001,466.0
1.1400000000000001,521.0
1.1500000000000001,473.0
1.16,520.0
1.17,463.0
1.18,522.0
1.19,470.0
1.2,526.0
1.21,464.0
1.22,532.0
1.23,470.0
1.24,518.0
1.25,469.0
1.26,529.0
1.27,463.0
1.28,525.0
1.29,466.0
1.3,534.0
1.31,475.0
1.32,537.0
1.33,485.0
1.34,534.0
1.35,474.0
1.36,532.0
1.37,460.0
1.3800000000000001,518.0
1.3900000000000001,459.0
1.4000000000000001,520.0
1.41,450.0
1.42,518.0
1.43,454.0
1.44,506.0
1.45,441.0
1.46,619.0
1.47,626.0
1.48,535.0
1.49,388.0
1.5,507.0
1.51,447.0
1.52,508.0
1.53,457.0
1.54,514.0
1.55,460.0
1.56,516.0
1.57,465.0
1.58,525.0
1.59,466.0
1.6,528.0
1.61,474.0
1.62,532.0
1.6300000000000001,476.0
1.6400000000000001,536.0
1.6500000000000001,486.0
1.6600000000000001,531.0
1.67,480.0
1.68,530.0
1.69,475.0
1.7,524.0
1.71,466.0
1.72,508.0
1.73,457.0
1.74,504.0
1.75,456.0
1.76,499.0
1.77,452.0
1.78,504.0
1.79,458.0
1.8,507.0
1.81,457.0
1.82,504.0
1.83,465.0
1.84,506.0
1.85,468.0
1.86,506.0
1.87,464.0
1.8800000000000001,498.0
1.8900000000000001,472.0
1.9000000000000001,498.0
1.9100000000000001,471.0
1.92,511.0
1.93,488.0
1.94,516.0
1.95,499.0
1.96,505.0
1.97,485.0
1.98,497.0
1.99,470.0
2.0,493.0
2.0100000000000002,470.0
2.02,493.0
2.0300000000000002,476.0
2.04,484.0
2.05,474.0
2.06,469.0
2.07,496.0
2.08,674.0
2.09,588.0
2.1,416.0
2.11,454.0
2.12,478.0
2.13,474.0
2.14,486.0
2.15,485.0
2.16,484.0
2.17,487.0
2.18,488.0
2.19,493.0
2.2,492.0
2.21,502.0
2.22,492.0
2.23,510.0
2.24,498.0
2.25,507.0
2.2600000000000002,499.0
2.27,513.0
2.2800000000000002,497.0
2.29,517.0
2.3000000000000003,496.0
2.31,514.0
2.32,486.0
2.33,495.0
2.34,469.0
2.35,498.0
2.36,469.0
2.37,492.0
2.38,463.0
2.39,495.0
2.4,476.0
2.41,498.0
2.42,468.0
2.43,513.0
2.44,472.0
2.45,508.0
2.46,475.0
2.47,502.0
2.48,476.0
2.49,508.0
2.5,473.0
2.5100000000000002,517.0
2.52,470.0
2.5300000000000002,531.0
2.54,483.0
2.5500000000000003,542.0
2.56,493.0
2.57,543.0
2.58,480.0
2.59,525.0
2.6,471.0
2.61,524.0
2.62,470.0
2.63,529.0
2.64,465.0
2.65,520.0
2.66,470.0
2.67,516.0
2.68,451.0
2.69,660.0
2.7,615.0
2.71,523.0
2.72,405.0
2.73,521.0
2.74,459.0
2.75,532.0
2.7600000000000002,470.0
2.77,524.0
2.7800000000000002,471.0
2.79,541.0
2.8000000000000003,476.0
2.81,537.0
2.82,473.0
2.83,554.0
2.84,488.0
2.85,556.0
2.86,489.0
2.87,552.0
2.88,497.0
2.89,555.0
2.9,496.0
2.91,556.0
2.92,488.0
2.93,546.0
2.94,485.0
2.95,525.0
2.96,474.0
2.97,533.0
2.98,469.0
2.99,526.0
3.0,469.0
3.0100000000000002,521.0
3.02,474.0
3.0300000000000002,532.0
3.04,471.0
3.0500000000000003,533.0
3.06,483.0
3.0700000000000003,529.0
3.08,476.0
3.09,530.0
3.1,482.0
3.11,524.0
3.12,480.0
3.13,532.0
3.14,485.0
3.15,543.0
3.16,498.0
3.17,549.0
3.18,489.0
3.19,534.0
3.2,482.0
3.21,524.0
