Time,ADC
0.0,488.0
0.01,471.0
0.02,501.0
0.03,482.0
0.04,508.0
0.05,483.0
0.06,525.0
0.07,483.0
0.08,526.0
0.09,476.0
0.1,512.0
0.11,451.0
0.12,499.0
0.13,429.0
0.14,494.0
0.15,429.0
0.16,489.0
0.17,422.0
0.18,495.0
0.19,414.0
0.2,507.0
0.21,416.0
0.22,499.0
0.23,416.0
0.24,504.0
0.25,406.0
0.26,516.0
0.27,405.0
0.28,512.0
0.29,408.0
0.3,516.0
0.31,415.0
0.32,538.0
0.33,422.0
0.34,541.0
0.35000000000000003,410.0
0.36,523.0
0.37,389.0
0.38,524.0
0.39,385.0
0.4,523.0
0.41000000000000003,384.0
0.42,523.0
0.43,385.0
0.44,534.0
0.45,379.0
0.46,514.0
0.47000000000000003,382.0
0.48,661.0
0.49,480.0
0.5,489.0
0.51,331.0
0.52,521.0
0.53,369.0
0.54,541.0
0.55,376.0
0.56,536.0
0.5700000000000001,382.0
0.58,542.0
0.59,376.0
0.6,553.0
0.61,387.0
0.62,557.0
0.63,391.0
0.64,562.0
0.65,390.0
0.66,568.0
0.67,404.0
0.68,576.0
0.6900000000000001,406.0
0.7000000000000001,581.0
0.71,410.0
0.72,581.0
0.73,401.0
0.74,571.0
0.75,381.0
0.76,548.0
0.77,361.0
0.78,536.0
0.79,363.0
0.8,532.0
0.81,364.0
0.8200000000000001,535.0
0.8300000000000001,374.0
0.84,521.0
0.85,368.0
0.86,536.0
0.87,375.0
0.88,535.0
0.89,375.0
0.9,537.0
0.91,377.0
0.92,535.0
0.93,384.0
0.9400000000000001,534.0
0.9500000000000001,389.0
0.96,534.0
0.97,387.0
0.98,542.0
0.99,406.0
1.0,554.0
1.01,413.0
1.02,535.0
1.03,393.0
1.04,525.0
1.05,394.0
1.06,523.0
1.07,387.0
1.08,514.0
1.09,387.0
1.1,508.0
1.11,390.0
1.12,508.0
1.1300000000000001,396.0
1.1400000000000001,490.0
1.1500000000000001,454.0
1.16,643.0
1.17,420.0
1.18,432.0
1.19,368.0
1.2,476.0
1.21,401.0
1.22,499.0
1.23,400.0
1.24,488.0
1.25,408.0
1.26,489.0
1.27,413.0
1.28,499.0
1.29,428.0
1.3,494.0
1.31,433.0
1.32,497.0
1.33,441.0
1.34,499.0
1.35,453.0
1.36,499.0
1.37,464.0
1.3800000000000001,505.0
1.3900000000000001,469.0
1.4000000000000001,498.0
1.41,460.0
1.42,480.0
1.43,434.0
1.44,456.0
1.45,433.0
1.46,445.0
1.47,429.0
1.48,451.0
1.49,438.0
1.5,435.0
1.51,433.0
1.52,437.0
1.53,442.0
1.54,432.0
1.55,457.0
1.56,429.0
1.57,465.0
1.58,413.0
1.59,475.0
1.6,413.0
1.61,482.0
1.62,426.0
1.6300000000000001,483.0
1.6400000000000001,426.0
1.6500000000000001,518.0
1.6600000000000001,440.0
1.67,528.0
1.68,404.0
1.69,505.0
1.7,405.0
1.71,496.0
1.72,393.0
1.73,502.0
1.74,396.0
1.75,493.0
1.76,388.0
1.77,500.0
1.78,389.0
1.79,508.0
1.8,379.0
1.81,630.0
1.82,487.0
1.83,494.0
1.84,330.0
1.85,499.0
1.86,378.0
1.87,540.0
1.8800000000000001,377.0
1.8900000000000001,522.0
1.9000000000000001,389.0
1.9100000000000001,534.0
1.92,399.0
1.93,553.0
1.94,400.0
1.95,556.0
1.96,403.0
1.97,580.0
1.98,421.0
1.99,581.0
2.0,435.0
2.0100000000000002,600.0
2.02,442.0
2.0300000000000002,617.0
2.04,447.0
2.05,614.0
2.06,446.0
2.07,604.0
2.08,414.0
2.09,594.0
2.1,414.0
2.11,584.0
2.12,405.0
2.13,573.0
2.14,406.0
2.15,579.0
2.16,414.0
2.17,580.0
2.18,423.0
2.19,598.0
2.2,427.0
2.21,598.0
2.22,434.0
2.23,605.0
2.24,438.0
2.25,607.0
2.2600000000000002,438.0
2.27,625.0
2.2800000000000002,456.0
2.29,633.0
2.3000000000000003,463.0
2.31,620.0
2.32,446.0
2.33,608.0
2.34,438.0
2.35,608.0
2.36,437.0
2.37,606.0
2.38,442.0
2.39,597.0
2.4,446.0
2.41,592.0
2.42,441.0
2.43,580.0
2.44,540.0
2.45,723.0
2.46,447.0
2.47,534.0
2.48,423.0
2.49,580.0
2.5,450.0
2.5100000000000002,588.0
2.52,457.0
2.5300000000000002,591.0
2.54,466.0
2.5500000000000003,591.0
2.56,465.0
2.57,593.0
2.58,469.0
2.59,594.0
2.6,480.0
2.61,594.0
2.62,488.0
2.63,596.0
2.64,495.0
2.65,604.0
2.66,502.0
2.67,602.0
2.68,502.0
2.69,595.0
2.7,497.0
2.71,570.0
2.72,474.0
2.73,556.0
2.74,471.0
2.75,544.0
2.7600000000000002,469.0
2.77,542.0
2.7800000000000002,470.0
2.79,535.0
2.8000000000000003,474.0
2.81,530.0
2.82,487.0
2.83,529.0
2.84,484.0
2.85,534.0
2.86,489.0
2.87,524.0
2.88,485.0
2.89,524.0
2.9,499.0
2.91,532.0
2.92,509.0
2.93,537.0
2.94,514.0
2.95,518.0
2.96,497.0
2.97,505.0
2.98,501.0
2.99,493.0
3.0,506.0
3.0100000000000002,471.0
3.02,508.0
3.0300000000000002,468.0
3.04,510.0
3.0500000000000003,466.0
3.06,508.0
3.0700000000000003,456.0
3.08,632.0
