Time,ADC
0.0,530.0
0.01,393.0
0.02,524.0
0.03,379.0
0.04,517.0
0.05,367.0
0.06,509.0
0.07,365.0
0.08,514.0
0.09,361.0
0.1,520.0
0.11,361.0
0.12,512.0
0.13,330.0
0.14,607.0
0.15,514.0
0.16,546.0
0.17,290.0
0.18,538.0
0.19,329.0
0.2,536.0
0.21,345.0
0.22,540.0
0.23,354.0
0.24,545.0
0.25,353.0
0.26,553.0
0.27,360.0
0.28,566.0
0.29,360.0
0.3,560.0
0.31,368.0
0.32,565.0
0.33,366.0
0.34,567.0
0.35000000000000003,366.0
0.36,562.0
0.37,360.0
0.38,550.0
0.39,349.0
0.4,546.0
0.41000000000000003,337.0
0.42,533.0
0.43,337.0
0.44,530.0
0.45,337.0
0.46,532.0
0.47000000000000003,346.0
0.48,532.0
0.49,339.0
0.5,534.0
0.51,346.0
0.52,540.0
0.53,346.0
0.54,528.0
0.55,349.0
0.56,532.0
0.5700000000000001,344.0
0.58,528.0
0.59,348.0
0.6,532.0
0.61,346.0
0.62,524.0
0.63,356.0
0.64,535.0
0.65,370.0
0.66,543.0
0.67,373.0
0.68,533.0
0.6900000000000001,360.0
0.7000000000000001,521.0
0.71,360.0
0.72,522.0
0.73,355.0
0.74,516.0
0.75,354.0
0.76,505.0
0.77,355.0
0.78,487.0
0.79,414.0
0.8,675.0
0.81,430.0
0.8200000000000001,438.0
0.8300000000000001,353.0
0.84,485.0
0.85,365.0
0.86,494.0
0.87,375.0
0.88,487.0
0.89,376.0
0.9,493.0
0.91,387.0
0.92,487.0
0.93,396.0
0.9400000000000001,489.0
0.9500000000000001,402.0
0.96,494.0
0.97,405.0
0.98,495.0
0.99,411.0
1.0,488.0
1.01,413.0
1.02,480.0
1.03,402.0
1.04,468.0
1.05,403.0
1.06,452.0
1.07,398.0
1.08,446.0
1.09,399.0
1.1,446.0
1.11,393.0
1.12,436.0
1.1300000000000001,403.0
1.1400000000000001,439.0
1.1500000000000001,415.0
1.16,433.0
1.17,421.0
1.18,433.0
1.19,416.0
1.2,435.0
1.21,426.0
1.22,423.0
1.23,436.0
1.24,413.0
1.25,440.0
1.26,415.0
1.27,440.0
1.28,412.0
1.29,448.0
1.3,414.0
1.31,459.0
1.32,436.0
1.33,464.0
1.34,413.0
1.35,456.0
1.36,396.0
1.37,462.0
1.3800000000000001,401.0
1.3900000000000001,459.0
1.4000000000000001,391.0
1.41,459.0
1.42,384.0
1.43,461.0
1.44,368.0
1.45,457.0
1.46,522.0
1.47,596.0
1.48,343.0
1.49,416.0
1.5,374.0
1.51,456.0
1.52,379.0
1.53,480.0
1.54,362.0
1.55,494.0
1.56,376.0
1.57,492.0
1.58,379.0
1.59,505.0
1.6,377.0
1.61,510.0
1.62,392.0
1.6300000000000001,516.0
1.6400000000000001,378.0
1.6500000000000001,523.0
1.6600000000000001,382.0
1.67,516.0
1.68,379.0
1.69,525.0
1.7,357.0
1.71,516.0
1.72,343.0
1.73,522.0
1.74,336.0
1.75,512.0
1.76,341.0
1.77,526.0
1.78,337.0
1.79,518.0
1.8,345.0
1.81,532.0
1.82,341.0
1.83,525.0
1.84,348.0
1.85,529.0
1.86,348.0
1.87,528.0
1.8800000000000001,341.0
1.8900000000000001,534.0
1.9000000000000001,346.0
1.9100000000000001,523.0
1.92,353.0
1.93,528.0
1.94,348.0
1.95,535.0
1.96,358.0
1.97,553.0
1.98,370.0
1.99,537.0
2.0,357.0
2.0100000000000002,530.0
2.02,349.0
2.0300000000000002,521.0
2.04,364.0
2.05,531.0
2.06,355.0
2.07,522.0
2.08,344.0
2.09,512.0
2.1,370.0
2.11,678.0
2.12,450.0
2.13,469.0
2.14,317.0
2.15,510.0
2.16,338.0
2.17,525.0
2.18,361.0
2.19,512.0
2.2,357.0
2.21,525.0
2.22,373.0
2.23,519.0
2.24,369.0
2.25,525.0
2.2600000000000002,378.0
2.27,525.0
2.2800000000000002,379.0
2.29,537.0
2.3000000000000003,382.0
2.31,533.0
2.32,386.0
2.33,525.0
2.34,384.0
2.35,514.0
2.36,365.0
2.37,504.0
2.38,369.0
2.39,502.0
2.4,365.0
2.41,501.0
2.42,375.0
2.43,488.0
2.44,386.0
2.45,489.0
2.46,390.0
2.47,507.0
2.48,384.0
2.49,486.0
2.5,409.0
2.5100000000000002,477.0
2.52,416.0
2.5300000000000002,470.0
2.54,411.0
2.5500000000000003,483.0
2.56,417.0
2.57,504.0
2.58,440.0
2.59,492.0
2.6,439.0
2.61,472.0
2.62,446.0
2.63,466.0
2.64,438.0
2.65,468.0
2.66,447.0
2.67,475.0
2.68,436.0
2.69,450.0
2.7,452.0
2.71,442.0
2.72,501.0
2.73,634.0
2.74,530.0
2.75,391.0
2.7600000000000002,440.0
2.77,457.0
2.7800000000000002,473.0
2.79,461.0
2.8000000000000003,476.0
2.81,457.0
2.82,498.0
2.83,451.0
2.84,498.0
2.85,484.0
2.86,508.0
2.87,470.0
2.88,522.0
2.89,484.0
2.9,531.0
2.91,473.0
2.92,544.0
2.93,475.0
2.94,545.0
2.95,464.0
2.96,548.0
2.97,454.0
2.98,531.0
2.99,458.0
3.0,542.0
3.0100000000000002,436.0
3.02,516.0
3.0300000000000002,441.0
3.04,517.0
3.0500000000000003,440.0
3.06,552.0
3.0700000000000003,435.0
3.08,559.0
3.09,437.0
3.1,544.0
3.11,430.0
3.12,546.0
3.13,432.0
3.14,554.0
3.15,427.0
3.16,544.0
3.17,430.0
3.18,586.0
3.19,437.0
3.2,570.0
3.21,441.0
3.22,588.0
3.23,386.0
3.24,589.0
3.25,404.0
3.2600000000000002,559.0
3.27,437.0
3.2800000000000002,576.0
3.29,396.0
3.3000000000000003,552.0
3.31,418.0
3.3200000000000003,585.0
3.33,354.0
3.34,631.0
3.35,566.0
3.36,598.0
3.37,365.0
3.38,556.0
3.39,369.0
3.4,579.0
3.41,392.0
3.42,576.0
3.43,436.0
3.44,566.0
3.45,405.0
3.46,588.0
3.47,405.0
3.48,573.0
3.49,403.0
3.5,586.0
3.5100000000000002,402.0
3.52,593.0
3.5300000000000002,416.0
3.54,598.0
3.5500000000000003,409.0
3.56,588.0
3.5700000000000003,396.0
3.58,562.0
3.59,396.0
3.6,564.0
3.61,379.0
3.62,540.0
3.63,366.0
3.64,540.0
3.65,379.0
3.66,532.0
3.67,368.0
3.68,534.0
3.69,378.0
3.7,536.0
3.71,366.0
3.72,542.0
3.73,370.0
3.74,530.0
3.75,364.0
3.7600000000000002,524.0
3.77,392.0
3.7800000000000002,533.0
3.79,388.0
3.8000000000000003,545.0
3.81,398.0
3.8200000000000003,540.0
3.83,387.0
3.84,525.0
3.85,390.0
3.86,520.0
3.87,369.0
3.88,506.0
3.89,393.0
3.9,483.0
3.91,382.0
3.92,487.0
3.93,378.0
3.94,505.0
3.95,574.0
3.96,593.0
3.97,348.0
3.98,459.0
3.99,384.0
4.0,468.0
4.01,402.0
4.0200000000000005,474.0
4.03,414.0
4.04,470.0
4.05,423.0
4.0600000000000005,472.0
4.07,414.0
4.08,483.0
4.09,435.0
4.1,475.0
4.11,441.0
4.12,470.0
4.13,449.0
4.14,472.0
4.15,441.0
4.16,466.0
4.17,453.0
4.18,454.0
4.19,440.0
4.2,435.0
4.21,449.0
4.22,429.0
4.23,432.0
4.24,430.0
4.25,436.0
4.26,416.0
4.2700000000000005,451.0
4.28,415.0
4.29,457.0
4.3,414.0
4.3100000000000005,459.0
4.32,414.0
4.33,480.0
4.34,411.0
