Time,ADC
0.0,606.0
0.01,577.0
0.02,559.0
0.03,550.0
0.04,545.0
0.05,542.0
0.06,544.0
0.07,546.0
0.08,547.0
0.09,553.0
0.1,553.0
0.11,554.0
0.12,558.0
0.13,560.0
0.14,560.0
0.15,561.0
0.16,566.0
0.17,568.0
0.18,569.0
0.19,568.0
0.2,569.0
0.21,579.0
0.22,586.0
0.23,596.0
0.24,606.0
0.25,596.0
0.26,580.0
0.27,572.0
0.28,569.0
0.29,566.0
0.3,567.0
0.31,568.0
0.32,567.0
0.33,567.0
0.34,484.0
0.35000000000000003,440.0
0.36,957.0
0.37,806.0
0.38,519.0
0.39,582.0
0.4,568.0
0.41000000000000003,570.0
0.42,577.0
0.43,578.0
0.44,580.0
0.45,580.0
0.46,584.0
0.47000000000000003,586.0
0.48,590.0
0.49,593.0
0.5,602.0
0.51,607.0
0.52,617.0
0.53,629.0
0.54,639.0
0.55,650.0
0.56,661.0
0.5700000000000001,666.0
0.58,669.0
0.59,660.0
0.6,629.0
0.61,596.0
0.62,574.0
0.63,555.0
0.64,549.0
0.65,545.0
0.66,550.0
0.67,549.0
0.68,545.0
0.6900000000000001,546.0
0.7000000000000001,548.0
0.71,550.0
0.72,545.0
0.73,544.0
0.74,544.0
0.75,545.0
0.76,546.0
0.77,548.0
0.78,540.0
0.79,546.0
0.8,547.0
0.81,549.0
0.8200000000000001,547.0
0.8300000000000001,546.0
0.84,552.0
0.85,554.0
0.86,548.0
0.87,555.0
0.88,558.0
0.89,552.0
0.9,556.0
0.91,556.0
0.92,555.0
0.93,559.0
0.9400000000000001,556.0
0.9500000000000001,559.0
0.96,548.0
0.97,555.0
0.98,555.0
0.99,552.0
1.0,554.0
1.01,546.0
1.02,554.0
1.03,552.0
1.04,554.0
1.05,549.0
1.06,558.0
1.07,556.0
1.08,555.0
1.09,556.0
1.1,559.0
1.11,567.0
1.12,562.0
1.1300000000000001,555.0
1.1400000000000001,568.0
1.1500000000000001,568.0
1.16,572.0
1.17,558.0
1.18,560.0
1.19,562.0
1.2,565.0
1.21,554.0
1.22,423.0
1.23,569.0
1.24,1015.0
1.25,634.0
1.26,548.0
1.27,569.0
1.28,558.0
1.29,560.0
1.3,560.0
1.31,559.0
1.32,560.0
1.33,567.0
1.34,567.0
1.35,568.0
1.36,571.0
1.37,579.0
1.3800000000000001,589.0
1.3900000000000001,593.0
1.4000000000000001,604.0
1.41,614.0
1.42,625.0
1.43,627.0
1.44,633.0
1.45,639.0
1.46,645.0
1.47,644.0
1.48,628.0
1.49,605.0
1.5,576.0
1.51,556.0
1.52,552.0
1.53,546.0
1.54,544.0
1.55,546.0
1.56,548.0
1.57,550.0
1.58,550.0
1.59,553.0
1.6,556.0
1.61,558.0
1.62,557.0
1.6300000000000001,558.0
1.6400000000000001,561.0
1.6500000000000001,561.0
1.6600000000000001,565.0
1.67,565.0
1.68,566.0
1.69,566.0
1.7,565.0
1.71,566.0
1.72,564.0
1.73,565.0
1.74,561.0
1.75,560.0
1.76,562.0
1.77,561.0
1.78,559.0
1.79,561.0
1.8,558.0
1.81,567.0
1.82,562.0
1.83,559.0
1.84,560.0
1.85,562.0
1.86,566.0
1.87,559.0
1.8800000000000001,423.0
1.8900000000000001,564.0
1.9000000000000001,1024.0
1.9100000000000001,642.0
1.92,530.0
1.93,581.0
1.94,560.0
1.95,562.0
1.96,566.0
1.97,566.0
1.98,571.0
1.99,572.0
2.0,574.0
2.0100000000000002,580.0
2.02,579.0
2.0300000000000002,583.0
2.04,591.0
2.05,596.0
2.06,608.0
2.07,620.0
2.08,632.0
2.09,641.0
2.1,650.0
2.11,656.0
2.12,661.0
2.13,644.0
2.14,616.0
2.15,581.0
2.16,556.0
2.17,540.0
2.18,537.0
2.19,540.0
2.2,535.0
2.21,540.0
2.22,533.0
2.23,541.0
2.24,537.0
2.25,536.0
2.2600000000000002,544.0
2.27,540.0
2.2800000000000002,540.0
2.29,544.0
2.3000000000000003,548.0
2.31,552.0
2.32,550.0
2.33,553.0
2.34,555.0
2.35,554.0
2.36,561.0
2.37,559.0
2.38,555.0
2.39,559.0
2.4,559.0
2.41,559.0
2.42,552.0
2.43,558.0
2.44,558.0
2.45,561.0
2.46,554.0
2.47,558.0
2.48,556.0
2.49,554.0
2.5,557.0
2.5100000000000002,541.0
2.52,397.0
2.5300000000000002,704.0
2.54,970.0
2.5500000000000003,562.0
2.56,562.0
2.57,561.0
2.58,561.0
2.59,562.0
2.6,562.0
2.61,562.0
2.62,566.0
2.63,567.0
2.64,572.0
2.65,569.0
2.66,568.0
2.67,570.0
2.68,583.0
2.69,590.0
2.7,594.0
2.71,602.0
2.72,615.0
2.73,618.0
2.74,626.0
2.75,633.0
2.7600000000000002,637.0
2.77,613.0
2.7800000000000002,586.0
2.79,565.0
2.8000000000000003,548.0
2.81,541.0
2.82,534.0
2.83,537.0
2.84,534.0
2.85,540.0
2.86,542.0
2.87,541.0
2.88,545.0
2.89,545.0
2.9,546.0
2.91,550.0
2.92,547.0
2.93,550.0
2.94,552.0
2.95,550.0
2.96,553.0
2.97,552.0
2.98,552.0
2.99,553.0
3.0,553.0
3.0100000000000002,558.0
3.02,560.0
3.0300000000000002,555.0
3.04,559.0
3.0500000000000003,559.0
3.06,565.0
3.0700000000000003,565.0
3.08,558.0
3.09,560.0
3.1,561.0
3.11,565.0
3.12,565.0
3.13,486.0
3.14,435.0
3.15,948.0
3.16,814.0
3.17,522.0
3.18,576.0
3.19,566.0
3.2,559.0
3.21,566.0
3.22,566.0
3.23,568.0
3.24,571.0
3.25,573.0
3.2600000000000002,578.0
3.27,580.0
3.2800000000000002,588.0
3.29,593.0
3.3000000000000003,602.0
3.31,615.0
3.3200000000000003,625.0
3.33,637.0
3.34,651.0
3.35,660.0
3.36,667.0
3.37,676.0
3.38,672.0
3.39,643.0
3.4,603.0
3.41,573.0
3.42,556.0
3.43,554.0
3.44,554.0
3.45,553.0
3.46,552.0
3.47,553.0
3.48,552.0
3.49,554.0
3.5,556.0
3.5100000000000002,553.0
3.52,554.0
3.5300000000000002,554.0
3.54,559.0
3.5500000000000003,554.0
3.56,559.0
3.5700000000000003,564.0
3.58,556.0
3.59,566.0
3.6,562.0
3.61,562.0
3.62,561.0
3.63,569.0
3.64,568.0
3.65,567.0
3.66,567.0
3.67,567.0
3.68,571.0
3.69,568.0
3.7,571.0
3.71,568.0
3.72,570.0
3.73,574.0
3.74,567.0
3.75,577.0
3.7600000000000002,573.0
3.77,579.0
3.7800000000000002,573.0
3.79,576.0
3.8000000000000003,577.0
3.81,571.0
3.8200000000000003,577.0
3.83,552.0
3.84,423.0
3.85,761.0
3.86,975.0
3.87,578.0
3.88,569.0
3.89,576.0
3.9,576.0
3.91,577.0
3.92,574.0
3.93,568.0
3.94,577.0
3.95,570.0
3.96,581.0
3.97,574.0
3.98,585.0
3.99,583.0
4.0,594.0
4.01,601.0
4.0200000000000005,607.0
4.03,624.0
4.04,627.0
4.05,637.0
4.0600000000000005,645.0
4.07,654.0
4.08,654.0
4.09,642.0
4.1,618.0
4.11,584.0
4.12,562.0
4.13,555.0
4.14,543.0
4.15,543.0
4.16,546.0
4.17,552.0
4.18,544.0
4.19,542.0
4.2,548.0
4.21,552.0
4.22,552.0
4.23,552.0
4.24,553.0
4.25,553.0
4.26,554.0
4.2700000000000005,556.0
4.28,556.0
4.29,558.0
4.3,560.0
4.3100000000000005,559.0
4.32,561.0
4.33,561.0
4.34,556.0
4.3500000000000005,560.0
4.36,554.0
4.37,566.0
4.38,558.0
4.39,559.0
4.4,559.0
4.41,559.0
4.42,560.0
4.43,560.0
4.44,480.0
4.45,441.0
4.46,945.0
4.47,793.0
4.48,528.0
4.49,572.0
4.5,564.0
4.51,560.0
4.5200000000000005,567.0
4.53,565.0
4.54,570.0
4.55,572.0
4.5600000000000005,574.0
4.57,577.0
4.58,581.0
4.59,586.0
4.6000000000000005,594.0
4.61,601.0
4.62,608.0
4.63,619.0
4.64,633.0
4.65,644.0
4.66,650.0
4.67,656.0
4.68,661.0
4.69,649.0
4.7,619.0
4.71,589.0
4.72,568.0
4.73,550.0
4.74,546.0
4.75,542.0
4.76,540.0
4.7700000000000005,541.0
4.78,537.0
4.79,545.0
4.8,546.0
4.8100000000000005,547.0
4.82,546.0
4.83,552.0
4.84,552.0
4.8500000000000005,552.0
4.86,552.0
4.87,549.0
4.88,552.0
4.89,548.0
4.9,553.0
4.91,549.0
4.92,548.0
4.93,554.0
4.94,545.0
4.95,546.0
4.96,555.0
4.97,546.0
4.98,545.0
4.99,550.0
5.0,552.0
5.01,548.0
5.0200000000000005,553.0
5.03,554.0
5.04,548.0
5.05,553.0
5.0600000000000005,546.0
5.07,559.0
5.08,554.0
5.09,549.0
5.1000000000000005,556.0
5.11,553.0
5.12,554.0
5.13,542.0
5.14,396.0
5.15,643.0
5.16,996.0
5.17,573.0
5.18,542.0
5.19,554.0
5.2,542.0
5.21,550.0
5.22,541.0
5.23,545.0
5.24,545.0
5.25,541.0
5.26,545.0
5.2700000000000005,547.0
5.28,549.0
5.29,553.0
5.3,561.0
5.3100000000000005,578.0
5.32,586.0
5.33,595.0
5.34,609.0
5.3500000000000005,622.0
5.36,625.0
5.37,636.0
5.38,641.0
5.39,626.0
5.4,594.0
5.41,566.0
5.42,548.0
5.43,541.0
5.44,531.0
5.45,531.0
5.46,528.0
5.47,529.0
5.48,533.0
5.49,532.0
5.5,534.0
5.51,542.0
5.5200000000000005,540.0
5.53,542.0
5.54,543.0
5.55,544.0
5.5600000000000005,550.0
5.57,547.0
5.58,553.0
5.59,553.0
5.6000000000000005,554.0
5.61,554.0
5.62,554.0
5.63,560.0
5.64,555.0
5.65,556.0
5.66,556.0
5.67,558.0
5.68,566.0
5.69,559.0
5.7,561.0
5.71,562.0
5.72,561.0
5.73,565.0
5.74,555.0
5.75,408.0
5.76,604.0
5.7700000000000005,1024.0
5.78,606.0
5.79,536.0
5.8,578.0
5.8100000000000005,558.0
5.82,567.0
5.83,568.0
5.84,568.0
5.8500000000000005,572.0
5.86,571.0
5.87,577.0
5.88,579.0
5.89,584.0
5.9,589.0
5.91,594.0
5.92,605.0
5.93,617.0
5.94,627.0
5.95,644.0
5.96,651.0
5.97,660.0
5.98,670.0
5.99,670.0
6.0,650.0
6.01,626.0
6.0200000000000005,600.0
6.03,572.0
6.04,555.0
6.05,564.0
6.0600000000000005,560.0
6.07,557.0
6.08,565.0
6.09,562.0
6.1000000000000005,566.0
6.11,567.0
6.12,570.0
6.13,566.0
6.140000000000001,561.0
6.15,565.0
6.16,562.0
6.17,565.0
6.18,561.0
6.19,560.0
6.2,561.0
6.21,560.0
6.22,558.0
6.23,566.0
6.24,562.0
6.25,565.0
6.26,566.0
6.2700000000000005,572.0
6.28,566.0
6.29,568.0
6.3,572.0
6.3100000000000005,568.0
6.32,572.0
6.33,571.0
6.34,573.0
6.3500000000000005,577.0
6.36,580.0
6.37,573.0
6.38,576.0
6.390000000000001,570.0
6.4,585.0
6.41,577.0
6.42,579.0
6.43,571.0
6.44,570.0
6.45,578.0
6.46,568.0
6.47,427.0
6.48,618.0
6.49,1024.0
6.5,625.0
6.51,553.0
6.5200000000000005,581.0
6.53,566.0
6.54,566.0
6.55,568.0
6.5600000000000005,567.0
6.57,571.0
6.58,568.0
6.59,576.0
6.6000000000000005,576.0
6.61,580.0
6.62,590.0
6.63,583.0
6.640000000000001,594.0
6.65,605.0
6.66,618.0
6.67,629.0
6.68,634.0
6.69,633.0
6.7,644.0
6.71,650.0
6.72,633.0
6.73,609.0
6.74,578.0
6.75,553.0
6.76,540.0
6.7700000000000005,531.0
6.78,533.0
6.79,532.0
6.8,531.0
6.8100000000000005,537.0
6.82,540.0
6.83,542.0
6.84,548.0
6.8500000000000005,550.0
6.86,552.0
6.87,556.0
6.88,559.0
6.890000000000001,559.0
6.9,561.0
6.91,565.0
6.92,567.0
6.93,561.0
6.94,560.0
6.95,560.0
6.96,561.0
6.97,562.0
6.98,556.0
6.99,559.0
7.0,557.0
7.01,566.0
7.0200000000000005,566.0
7.03,560.0
7.04,561.0
7.05,562.0
7.0600000000000005,567.0
7.07,567.0
7.08,525.0
7.09,411.0
7.1000000000000005,847.0
7.11,932.0
7.12,550.0
7.13,585.0
7.140000000000001,586.0
7.15,579.0
7.16,585.0
7.17,585.0
7.18,586.0
7.19,588.0
7.2,588.0
7.21,588.0
7.22,586.0
7.23,588.0
7.24,591.0
7.25,597.0
7.26,606.0
7.2700000000000005,615.0
7.28,630.0
7.29,640.0
7.3,651.0
7.3100000000000005,662.0
7.32,676.0
7.33,674.0
7.34,644.0
7.3500000000000005,604.0
7.36,576.0
7.37,566.0
7.38,566.0
7.390000000000001,561.0
7.4,565.0
7.41,561.0
7.42,566.0
7.43,560.0
7.44,562.0
7.45,559.0
7.46,562.0
7.47,559.0
7.48,556.0
7.49,553.0
7.5,550.0
7.51,550.0
7.5200000000000005,553.0
7.53,556.0
7.54,557.0
7.55,560.0
7.5600000000000005,556.0
7.57,565.0
7.58,562.0
7.59,569.0
7.6000000000000005,569.0
7.61,576.0
7.62,569.0
7.63,577.0
7.640000000000001,579.0
7.65,572.0
7.66,580.0
7.67,577.0
7.68,576.0
7.69,574.0
7.7,577.0
7.71,571.0
7.72,566.0
7.73,570.0
7.74,569.0
7.75,574.0
7.76,572.0
7.7700000000000005,567.0
7.78,567.0
7.79,571.0
7.8,577.0
7.8100000000000005,566.0
7.82,424.0
7.83,625.0
7.84,1023.0
7.8500000000000005,609.0
7.86,560.0
7.87,571.0
7.88,568.0
7.890000000000001,568.0
7.9,568.0
7.91,571.0
7.92,577.0
