Time,ADC
0.0,553.0
0.01,555.0
0.02,552.0
0.03,561.0
0.04,553.0
0.05,439.0
0.06,514.0
0.07,1024.0
0.08,657.0
0.09,501.0
0.1,578.0
0.11,552.0
0.12,566.0
0.13,567.0
0.14,558.0
0.15,568.0
0.16,567.0
0.17,572.0
0.18,580.0
0.19,579.0
0.2,590.0
0.21,598.0
0.22,608.0
0.23,618.0
0.24,631.0
0.25,641.0
0.26,654.0
0.27,660.0
0.28,665.0
0.29,642.0
0.3,604.0
0.31,579.0
0.32,559.0
0.33,558.0
0.34,553.0
0.35000000000000003,553.0
0.36,550.0
0.37,545.0
0.38,552.0
0.39,544.0
0.4,548.0
0.41000000000000003,545.0
0.42,548.0
0.43,546.0
0.44,546.0
0.45,549.0
0.46,546.0
0.47000000000000003,550.0
0.48,559.0
0.49,567.0
0.5,580.0
0.51,596.0
0.52,579.0
0.53,560.0
0.54,550.0
0.55,550.0
0.56,545.0
0.5700000000000001,546.0
0.58,549.0
0.59,540.0
0.6,545.0
0.61,489.0
0.62,413.0
0.63,856.0
0.64,802.0
0.65,532.0
0.66,536.0
0.67,554.0
0.68,553.0
0.6900000000000001,556.0
0.7000000000000001,560.0
0.71,560.0
0.72,566.0
0.73,566.0
0.74,569.0
0.75,578.0
0.76,585.0
0.77,594.0
0.78,597.0
0.79,605.0
0.8,618.0
0.81,629.0
0.8200000000000001,632.0
0.8300000000000001,640.0
0.84,645.0
0.85,625.0
0.86,593.0
0.87,565.0
0.88,546.0
0.89,541.0
0.9,541.0
0.91,537.0
0.92,537.0
0.93,535.0
0.9400000000000001,537.0
0.9500000000000001,543.0
0.96,541.0
0.97,542.0
0.98,544.0
0.99,542.0
1.0,545.0
1.01,545.0
1.02,546.0
1.03,552.0
1.04,558.0
1.05,571.0
1.06,577.0
1.07,589.0
1.08,578.0
1.09,558.0
1.1,554.0
1.11,544.0
1.12,545.0
1.1300000000000001,544.0
1.1400000000000001,545.0
1.1500000000000001,542.0
1.16,534.0
1.17,485.0
1.18,401.0
1.19,884.0
1.2,818.0
1.21,475.0
1.22,544.0
1.23,542.0
1.24,533.0
1.25,544.0
1.26,541.0
1.27,543.0
1.28,546.0
1.29,548.0
1.3,554.0
1.31,557.0
1.32,562.0
1.33,569.0
1.34,585.0
1.35,594.0
1.36,606.0
1.37,618.0
1.3800000000000001,618.0
1.3900000000000001,638.0
1.4000000000000001,634.0
1.41,615.0
1.42,588.0
1.43,558.0
1.44,542.0
1.45,532.0
1.46,534.0
1.47,532.0
1.48,535.0
1.49,533.0
1.5,533.0
1.51,537.0
1.52,532.0
1.53,528.0
1.54,533.0
1.55,531.0
1.56,528.0
1.57,530.0
1.58,537.0
1.59,545.0
1.6,557.0
1.61,565.0
1.62,578.0
1.6300000000000001,561.0
1.6400000000000001,544.0
1.6500000000000001,546.0
1.6600000000000001,542.0
1.67,535.0
1.68,544.0
1.69,542.0
1.7,542.0
1.71,546.0
1.72,444.0
1.73,477.0
1.74,973.0
1.75,675.0
1.76,513.0
1.77,546.0
1.78,554.0
1.79,546.0
1.8,554.0
1.81,560.0
1.82,556.0
1.83,561.0
1.84,559.0
1.85,566.0
1.86,571.0
1.87,576.0
1.8800000000000001,586.0
1.8900000000000001,596.0
1.9000000000000001,601.0
1.9100000000000001,621.0
1.92,625.0
1.93,633.0
1.94,643.0
1.95,646.0
1.96,609.0
1.97,583.0
1.98,565.0
1.99,550.0
2.0,549.0
2.0100000000000002,541.0
2.02,545.0
2.0300000000000002,546.0
