Time,ADC
0.0,705.0
0.01,592.0
0.02,489.0
0.03,504.0
0.04,535.0
0.05,520.0
0.06,545.0
0.07,520.0
0.08,550.0
0.09,530.0
0.1,552.0
0.11,528.0
0.12,553.0
0.13,526.0
0.14,562.0
0.15,536.0
0.16,560.0
0.17,535.0
0.18,577.0
0.19,540.0
0.2,574.0
0.21,549.0
0.22,580.0
0.23,542.0
0.24,580.0
0.25,536.0
0.26,567.0
0.27,523.0
0.28,549.0
0.29,510.0
0.3,546.0
0.31,504.0
0.32,545.0
0.33,502.0
0.34,543.0
0.35000000000000003,502.0
0.36,553.0
0.37,504.0
0.38,546.0
0.39,505.0
0.4,545.0
0.41000000000000003,509.0
0.42,550.0
0.43,509.0
0.44,552.0
0.45,508.0
0.46,542.0
0.47000000000000003,502.0
0.48,554.0
0.49,508.0
0.5,549.0
0.51,508.0
0.52,554.0
0.53,507.0
0.54,554.0
0.55,512.0
0.56,562.0
0.5700000000000001,524.0
0.58,570.0
0.59,514.0
0.6,556.0
0.61,511.0
0.62,554.0
0.63,499.0
0.64,549.0
0.65,502.0
0.66,547.0
0.67,495.0
0.68,544.0
0.6900000000000001,500.0
0.7000000000000001,540.0
0.71,483.0
0.72,586.0
0.73,665.0
0.74,636.0
0.75,460.0
0.76,526.0
0.77,493.0
0.78,535.0
0.79,507.0
0.8,543.0
0.81,509.0
0.8200000000000001,552.0
0.8300000000000001,512.0
0.84,550.0
0.85,516.0
0.86,552.0
0.87,519.0
0.88,555.0
0.89,525.0
0.9,556.0
0.91,530.0
0.92,561.0
0.93,534.0
0.9400000000000001,565.0
0.9500000000000001,535.0
0.96,566.0
0.97,536.0
0.98,554.0
0.99,524.0
1.0,541.0
1.01,511.0
1.02,528.0
1.03,507.0
1.04,524.0
1.05,499.0
1.06,524.0
1.07,508.0
1.08,526.0
1.09,506.0
1.1,524.0
1.11,508.0
1.12,526.0
1.1300000000000001,513.0
1.1400000000000001,530.0
1.1500000000000001,513.0
1.16,525.0
1.17,514.0
1.18,525.0
1.19,513.0
1.2,521.0
1.21,516.0
1.22,520.0
1.23,516.0
1.24,523.0
1.25,517.0
1.26,523.0
1.27,518.0
1.28,528.0
1.29,533.0
1.3,537.0
1.31,542.0
1.32,532.0
1.33,532.0
1.34,521.0
1.35,523.0
1.36,519.0
1.37,522.0
1.3800000000000001,513.0
1.3900000000000001,522.0
1.4000000000000001,512.0
1.41,520.0
1.42,512.0
1.43,521.0
1.44,493.0
1.45,561.0
1.46,676.0
1.47,613.0
1.48,476.0
1.49,506.0
1.5,502.0
1.51,523.0
1.52,518.0
1.53,531.0
1.54,514.0
1.55,541.0
1.56,519.0
1.57,542.0
1.58,525.0
1.59,548.0
1.6,524.0
1.61,554.0
1.62,530.0
1.6300000000000001,562.0
1.6400000000000001,532.0
1.6500000000000001,567.0
1.6600000000000001,535.0
1.67,568.0
1.68,541.0
1.69,577.0
1.7,536.0
1.71,566.0
1.72,525.0
1.73,555.0
1.74,508.0
1.75,537.0
1.76,498.0
1.77,537.0
1.78,496.0
1.79,534.0
1.8,497.0
1.81,537.0
1.82,499.0
1.83,541.0
1.84,498.0
1.85,542.0
1.86,501.0
1.87,543.0
1.8800000000000001,499.0
1.8900000000000001,544.0
1.9000000000000001,500.0
1.9100000000000001,542.0
1.92,501.0
1.93,545.0
1.94,501.0
1.95,544.0
1.96,501.0
1.97,542.0
1.98,501.0
1.99,545.0
2.0,504.0
2.0100000000000002,542.0
2.02,502.0
2.0300000000000002,546.0
2.04,509.0
2.05,561.0
2.06,519.0
2.07,566.0
2.08,516.0
2.09,554.0
2.1,509.0
2.11,553.0
2.12,502.0
2.13,550.0
2.14,506.0
2.15,552.0
2.16,501.0
2.17,552.0
2.18,508.0
2.19,541.0
2.2,489.0
2.21,653.0
2.22,664.0
2.23,586.0
2.24,466.0
2.25,542.0
2.2600000000000002,498.0
2.27,555.0
2.2800000000000002,514.0
2.29,560.0
2.3000000000000003,523.0
2.31,561.0
2.32,524.0
2.33,560.0
2.34,526.0
2.35,561.0
2.36,535.0
2.37,568.0
2.38,537.0
2.39,571.0
2.4,543.0
2.41,580.0
2.42,549.0
2.43,584.0
2.44,553.0
2.45,586.0
2.46,553.0
2.47,573.0
2.48,542.0
2.49,559.0
2.5,528.0
2.5100000000000002,545.0
2.52,522.0
2.5300000000000002,543.0
2.54,512.0
2.5500000000000003,541.0
2.56,522.0
2.57,535.0
2.58,523.0
2.59,544.0
2.6,523.0
2.61,543.0
2.62,526.0
2.63,542.0
2.64,523.0
2.65,542.0
2.66,535.0
2.67,540.0
2.68,525.0
2.69,541.0
2.7,526.0
2.71,540.0
2.72,531.0
2.73,537.0
2.74,533.0
2.75,540.0
2.7600000000000002,532.0
2.77,535.0
2.7800000000000002,532.0
2.79,541.0
2.8000000000000003,553.0
2.81,550.0
2.82,558.0
2.83,542.0
2.84,541.0
2.85,536.0
2.86,536.0
2.87,531.0
2.88,535.0
2.89,528.0
2.9,536.0
2.91,522.0
2.92,531.0
2.93,525.0
2.94,528.0
2.95,505.0
2.96,625.0
2.97,681.0
2.98,588.0
2.99,482.0
3.0,525.0
3.0100000000000002,511.0
3.02,537.0
3.0300000000000002,523.0
3.04,538.0
3.0500000000000003,524.0
3.06,546.0
3.0700000000000003,522.0
3.08,553.0
3.09,530.0
3.1,556.0
3.11,530.0
3.12,560.0
3.13,535.0
3.14,567.0
3.15,540.0
3.16,572.0
3.17,542.0
3.18,577.0
3.19,548.0
3.2,578.0
3.21,542.0
3.22,568.0
3.23,529.0
3.24,553.0
3.25,514.0
3.2600000000000002,537.0
3.27,507.0
3.2800000000000002,534.0
3.29,497.0
3.3000000000000003,535.0
3.31,500.0
3.3200000000000003,541.0
3.33,501.0
3.34,540.0
3.35,505.0
3.36,543.0
3.37,504.0
3.38,543.0
3.39,504.0
3.4,546.0
3.41,506.0
3.42,542.0
3.43,506.0
3.44,546.0
3.45,497.0
3.46,545.0
3.47,501.0
3.48,542.0
3.49,501.0
3.5,544.0
3.5100000000000002,501.0
3.52,553.0
3.5300000000000002,516.0
3.54,565.0
3.5500000000000003,513.0
3.56,548.0
3.5700000000000003,498.0
3.58,545.0
3.59,497.0
3.6,541.0
3.61,494.0
3.62,536.0
3.63,496.0
3.64,537.0
3.65,489.0
3.66,541.0
3.67,478.0
3.68,533.0
3.69,645.0
3.7,673.0
3.71,481.0
3.72,507.0
3.73,486.0
3.74,525.0
3.75,498.0
3.7600000000000002,536.0
3.77,505.0
3.7800000000000002,541.0
3.79,511.0
3.8000000000000003,545.0
3.81,506.0
3.8200000000000003,553.0
3.83,516.0
3.84,552.0
3.85,518.0
3.86,556.0
3.87,523.0
3.88,559.0
3.89,528.0
3.9,560.0
3.91,533.0
3.92,558.0
3.93,531.0
3.94,552.0
3.95,520.0
3.96,541.0
3.97,504.0
3.98,525.0
3.99,495.0
4.0,518.0
4.01,492.0
4.0200000000000005,516.0
4.03,493.0
4.04,518.0
