Time,ADC
0.0,134.0
0.01,1024.0
0.02,20.0
0.03,1024.0
0.04,20.0
0.05,1024.0
0.06,20.0
0.07,1024.0
0.08,20.0
0.09,1024.0
0.1,20.0
0.11,1024.0
0.12,20.0
0.13,1024.0
0.14,20.0
0.15,1024.0
0.16,20.0
0.17,1024.0
0.18,20.0
0.19,1024.0
0.2,20.0
0.21,1024.0
0.22,20.0
0.23,1024.0
0.24,20.0
0.25,1024.0
0.26,20.0
0.27,1024.0
0.28,20.0
0.29,1024.0
0.3,20.0
0.31,1024.0
0.32,20.0
0.33,1024.0
0.34,20.0
0.35000000000000003,1024.0
0.36,20.0
0.37,1024.0
0.38,20.0
0.39,1024.0
0.4,20.0
0.41000000000000003,1024.0
0.42,20.0
0.43,1024.0
0.44,20.0
0.45,1024.0
0.46,20.0
0.47000000000000003,1024.0
0.48,20.0
0.49,1024.0
0.5,20.0
0.51,1024.0
0.52,20.0
0.53,1024.0
0.54,20.0
0.55,1024.0
0.56,20.0
0.5700000000000001,1024.0
0.58,20.0
0.59,1024.0
0.6,20.0
0.61,1024.0
0.62,20.0
0.63,1024.0
0.64,20.0
0.65,1024.0
0.66,20.0
0.67,1024.0
0.68,20.0
0.6900000000000001,1024.0
0.7000000000000001,20.0
0.71,1024.0
0.72,20.0
0.73,1024.0
0.74,20.0
0.75,1024.0
0.76,20.0
0.77,1024.0
0.78,20.0
0.79,1024.0
0.8,19.0
0.81,1024.0
0.8200000000000001,20.0
0.8300000000000001,1024.0
0.84,20.0
0.85,1024.0
0.86,20.0
0.87,1024.0
0.88,20.0
0.89,1024.0
0.9,20.0
0.91,1024.0
0.92,20.0
0.93,1024.0
0.9400000000000001,20.0
0.9500000000000001,1024.0
0.96,20.0
0.97,1024.0
0.98,20.0
0.99,1024.0
1.0,19.0
1.01,1024.0
1.02,20.0
1.03,1024.0
1.04,66.0
1.05,1024.0
1.06,125.0
1.07,1024.0
1.08,162.0
1.09,953.0
1.1,229.0
1.11,869.0
1.12,325.0
1.1300000000000001,822.0
1.1400000000000001,429.0
1.1500000000000001,793.0
1.16,508.0
1.17,666.0
1.18,626.0
1.19,557.0
1.2,745.0
1.21,411.0
1.22,860.0
1.23,309.0
1.24,982.0
1.25,172.0
1.26,1024.0
1.27,33.0
1.28,1024.0
1.29,20.0
1.3,1024.0
1.31,20.0
1.32,1024.0
1.33,20.0
1.34,1024.0
1.35,20.0
1.36,1024.0
1.37,20.0
1.3800000000000001,1024.0
1.3900000000000001,20.0
1.4000000000000001,1024.0
1.41,20.0
1.42,1024.0
1.43,20.0
1.44,1024.0
1.45,20.0
1.46,1024.0
1.47,20.0
1.48,1024.0
1.49,20.0
1.5,1024.0
1.51,20.0
1.52,1024.0
1.53,20.0
1.54,1024.0
1.55,19.0
1.56,1024.0
1.57,20.0
1.58,1024.0
1.59,20.0
1.6,1024.0
1.61,20.0
1.62,1024.0
1.6300000000000001,20.0
1.6400000000000001,1024.0
1.6500000000000001,20.0
1.6600000000000001,1024.0
1.67,20.0
1.68,1024.0
1.69,20.0
1.7,1024.0
1.71,20.0
1.72,1024.0
1.73,20.0
1.74,1024.0
1.75,20.0
1.76,1024.0
1.77,20.0
1.78,1024.0
1.79,20.0
1.8,1024.0
1.81,20.0
1.82,1024.0
1.83,20.0
1.84,1024.0
1.85,20.0
1.86,1024.0
1.87,20.0
1.8800000000000001,1024.0
1.8900000000000001,20.0
1.9000000000000001,1024.0
1.9100000000000001,20.0
1.92,1024.0
1.93,20.0
1.94,1024.0
1.95,20.0
1.96,1024.0
1.97,20.0
1.98,1024.0
1.99,20.0
2.0,1024.0
2.0100000000000002,20.0
2.02,1024.0
2.0300000000000002,20.0
2.04,1024.0
2.05,20.0
2.06,1024.0
2.07,20.0
2.08,1024.0
2.09,20.0
2.1,1024.0
2.11,20.0
2.12,1024.0
2.13,20.0
2.14,1024.0
2.15,20.0
2.16,1024.0
2.17,20.0
2.18,1024.0
2.19,20.0
2.2,1024.0
