Time,ADC
0.0,509.0
0.01,602.0
0.02,514.0
0.03,605.0
0.04,516.0
0.05,608.0
0.06,512.0
0.07,602.0
0.08,499.0
0.09,585.0
0.1,484.0
0.11,573.0
0.12,477.0
0.13,572.0
0.14,478.0
0.15,574.0
0.16,478.0
0.17,578.0
0.18,483.0
0.19,579.0
0.2,484.0
0.21,580.0
0.22,486.0
0.23,576.0
0.24,485.0
0.25,578.0
0.26,488.0
0.27,579.0
0.28,487.0
0.29,579.0
0.3,487.0
0.31,574.0
0.32,486.0
0.33,574.0
0.34,488.0
0.35000000000000003,576.0
0.36,487.0
0.37,572.0
0.38,495.0
0.39,583.0
0.4,502.0
0.41000000000000003,589.0
0.42,506.0
0.43,579.0
0.44,495.0
0.45,572.0
0.46,494.0
0.47000000000000003,569.0
0.48,498.0
0.49,570.0
0.5,496.0
0.51,567.0
0.52,498.0
0.53,567.0
0.54,489.0
0.55,548.0
0.56,629.0
0.5700000000000001,718.0
0.58,516.0
0.59,523.0
0.6,509.0
0.61,550.0
0.62,513.0
0.63,560.0
0.64,514.0
0.65,561.0
0.66,519.0
0.67,567.0
0.68,523.0
0.6900000000000001,567.0
0.7000000000000001,535.0
0.71,570.0
0.72,535.0
0.73,572.0
0.74,545.0
0.75,576.0
0.76,553.0
0.77,582.0
0.78,556.0
0.79,572.0
0.8,556.0
0.81,574.0
0.8200000000000001,553.0
0.8300000000000001,555.0
0.84,541.0
0.85,540.0
0.86,531.0
0.87,531.0
0.88,528.0
0.89,532.0
0.9,532.0
0.91,530.0
0.92,537.0
0.93,533.0
0.9400000000000001,544.0
0.9500000000000001,525.0
0.96,541.0
0.97,530.0
0.98,546.0
0.99,529.0
1.0,553.0
1.01,521.0
1.02,556.0
1.03,519.0
1.04,556.0
1.05,513.0
1.06,560.0
1.07,516.0
1.08,560.0
1.09,512.0
1.1,565.0
1.11,512.0
1.12,561.0
1.1300000000000001,510.0
1.1400000000000001,577.0
1.1500000000000001,526.0
1.16,589.0
1.17,522.0
1.18,583.0
1.19,514.0
1.2,580.0
1.21,511.0
1.22,574.0
1.23,502.0
1.24,581.0
1.25,502.0
1.26,578.0
1.27,498.0
1.28,585.0
1.29,486.0
1.3,558.0
1.31,601.0
1.32,748.0
1.33,536.0
1.34,545.0
1.35,485.0
1.36,574.0
1.37,499.0
1.3800000000000001,590.0
1.3900000000000001,497.0
1.4000000000000001,591.0
1.41,502.0
1.42,590.0
1.43,508.0
1.44,595.0
1.45,508.0
1.46,604.0
1.47,508.0
1.48,602.0
1.49,523.0
1.5,606.0
1.51,522.0
1.52,609.0
1.53,525.0
1.54,613.0
1.55,523.0
1.56,612.0
1.57,516.0
1.58,600.0
1.59,505.0
1.6,580.0
1.61,489.0
1.62,576.0
1.6300000000000001,481.0
1.6400000000000001,571.0
1.6500000000000001,486.0
1.6600000000000001,572.0
1.67,488.0
1.68,578.0
1.69,490.0
1.7,579.0
1.71,489.0
1.72,577.0
1.73,498.0
1.74,578.0
1.75,502.0
1.76,578.0
1.77,502.0
1.78,577.0
1.79,505.0
1.8,571.0
1.81,502.0
1.82,580.0
1.83,513.0
1.84,586.0
1.85,528.0
1.86,589.0
1.87,513.0
1.8800000000000001,579.0
1.8900000000000001,513.0
1.9000000000000001,566.0
1.9100000000000001,509.0
1.92,562.0
1.93,509.0
1.94,561.0
1.95,514.0
1.96,559.0
1.97,516.0
1.98,543.0
1.99,489.0
2.0,648.0
2.0100000000000002,681.0
2.02,597.0
2.0300000000000002,488.0
2.04,543.0
2.05,513.0
2.06,545.0
2.07,535.0
2.08,549.0
2.09,536.0
2.1,552.0
2.11,544.0
2.12,552.0
2.13,549.0
2.14,554.0
2.15,553.0
2.16,555.0
2.17,557.0
2.18,554.0
2.19,567.0
2.2,556.0
2.21,570.0
2.22,559.0
2.23,580.0
2.24,559.0
2.25,574.0
2.2600000000000002,552.0
2.27,560.0
2.2800000000000002,530.0
2.29,549.0
2.3000000000000003,514.0
2.31,544.0
2.32,511.0
2.33,544.0
2.34,513.0
2.35,548.0
2.36,509.0
2.37,552.0
2.38,509.0
2.39,556.0
2.4,509.0
2.41,558.0
2.42,508.0
2.43,562.0
2.44,507.0
2.45,558.0
2.46,507.0
2.47,561.0
2.48,499.0
2.49,562.0
2.5,502.0
2.5100000000000002,580.0
2.52,506.0
2.5300000000000002,593.0
2.54,507.0
2.5500000000000003,576.0
2.56,494.0
2.57,570.0
2.58,493.0
2.59,576.0
2.6,493.0
2.61,572.0
2.62,486.0
2.63,568.0
2.64,484.0
2.65,572.0
2.66,469.0
2.67,574.0
2.68,643.0
2.69,715.0
2.7,471.0
2.71,550.0
2.72,484.0
2.73,566.0
2.74,492.0
2.75,580.0
2.7600000000000002,489.0
2.77,583.0
2.7800000000000002,493.0
2.79,588.0
2.8000000000000003,497.0
2.81,590.0
2.82,502.0
2.83,592.0
2.84,505.0
2.85,600.0
2.86,511.0
2.87,598.0
2.88,513.0
2.89,605.0
2.9,518.0
2.91,603.0
2.92,516.0
2.93,598.0
2.94,510.0
2.95,583.0
2.96,495.0
2.97,568.0
2.98,484.0
2.99,560.0
3.0,481.0
3.0100000000000002,559.0
3.02,484.0
3.0300000000000002,558.0
3.04,487.0
3.0500000000000003,560.0
3.06,489.0
3.0700000000000003,561.0
3.08,495.0
3.09,562.0
3.1,496.0
3.11,562.0
3.12,499.0
3.13,562.0
3.14,499.0
3.15,560.0
3.16,501.0
3.17,558.0
3.18,505.0
3.19,559.0
3.2,513.0
3.21,570.0
3.22,524.0
3.23,577.0
3.24,522.0
3.25,562.0
3.2600000000000002,518.0
3.27,558.0
3.2800000000000002,518.0
3.29,554.0
3.3000000000000003,516.0
3.31,545.0
3.3200000000000003,519.0
3.33,559.0
3.34,509.0
3.35,560.0
