Time,ADC
0.0,550.0
0.01,580.0
0.02,554.0
0.03,585.0
0.04,553.0
0.05,597.0
0.06,558.0
0.07,601.0
0.08,561.0
0.09,605.0
0.1,560.0
0.11,595.0
0.12,552.0
0.13,579.0
0.14,537.0
0.15,562.0
0.16,531.0
0.17,561.0
0.18,531.0
0.19,560.0
0.2,532.0
0.21,558.0
0.22,535.0
0.23,561.0
0.24,541.0
0.25,562.0
0.26,542.0
0.27,562.0
0.28,545.0
0.29,566.0
0.3,549.0
0.31,564.0
0.32,552.0
0.33,561.0
0.34,548.0
0.35000000000000003,562.0
0.36,550.0
0.37,560.0
0.38,553.0
0.39,561.0
0.4,556.0
0.41000000000000003,560.0
0.42,557.0
0.43,561.0
0.44,566.0
0.45,570.0
0.46,579.0
0.47000000000000003,576.0
0.48,577.0
0.49,560.0
0.5,577.0
0.51,556.0
0.52,574.0
0.53,552.0
0.54,571.0
0.55,553.0
0.56,572.0
0.5700000000000001,550.0
0.58,572.0
0.59,550.0
0.6,562.0
0.61,547.0
0.62,727.0
0.63,674.0
0.64,560.0
0.65,508.0
0.66,566.0
0.67,531.0
0.68,580.0
0.6900000000000001,537.0
0.7000000000000001,578.0
0.71,545.0
0.72,586.0
0.73,544.0
0.74,585.0
0.75,548.0
0.76,594.0
0.77,548.0
0.78,595.0
0.79,547.0
0.8,600.0
0.81,559.0
0.8200000000000001,606.0
0.8300000000000001,558.0
0.84,608.0
0.85,560.0
0.86,614.0
0.87,560.0
0.88,607.0
0.89,549.0
0.9,594.0
0.91,533.0
0.92,579.0
0.93,517.0
0.9400000000000001,578.0
0.9500000000000001,513.0
0.96,572.0
0.97,516.0
0.98,577.0
0.99,519.0
1.0,580.0
1.01,521.0
1.02,581.0
1.03,523.0
1.04,581.0
1.05,522.0
1.06,588.0
1.07,524.0
1.08,581.0
1.09,519.0
1.1,589.0
1.11,522.0
1.12,583.0
1.1300000000000001,523.0
1.1400000000000001,589.0
1.1500000000000001,522.0
1.16,591.0
1.17,526.0
1.18,585.0
1.19,524.0
1.2,598.0
1.21,528.0
1.22,600.0
1.23,534.0
1.24,613.0
1.25,538.0
1.26,604.0
1.27,533.0
1.28,600.0
1.29,526.0
1.3,593.0
1.31,526.0
1.32,593.0
1.33,522.0
1.34,591.0
1.35,528.0
1.36,596.0
1.37,522.0
1.3800000000000001,568.0
1.3900000000000001,633.0
1.4000000000000001,754.0
1.41,567.0
1.42,550.0
1.43,519.0
1.44,577.0
1.45,532.0
1.46,595.0
1.47,531.0
1.48,589.0
1.49,536.0
1.5,594.0
1.51,540.0
1.52,598.0
1.53,544.0
1.54,600.0
1.55,550.0
1.56,607.0
1.57,552.0
1.58,608.0
1.59,558.0
1.6,612.0
1.61,566.0
1.62,619.0
1.6300000000000001,571.0
1.6400000000000001,614.0
1.6500000000000001,562.0
1.6600000000000001,605.0
1.67,550.0
1.68,585.0
1.69,536.0
1.7,576.0
1.71,532.0
1.72,570.0
1.73,532.0
1.74,572.0
1.75,535.0
1.76,572.0
1.77,538.0
1.78,579.0
1.79,546.0
1.8,569.0
1.81,547.0
1.82,576.0
1.83,546.0
1.84,577.0
1.85,550.0
1.86,570.0
1.87,549.0
1.8800000000000001,577.0
1.8900000000000001,550.0
1.9000000000000001,568.0
1.9100000000000001,550.0
1.92,568.0
1.93,554.0
1.94,572.0
1.95,561.0
1.96,576.0
1.97,568.0
1.98,579.0
1.99,577.0
2.0,569.0
2.0100000000000002,569.0
2.02,562.0
2.0300000000000002,566.0
2.04,560.0
2.05,566.0
2.06,559.0
2.07,566.0
2.08,556.0
2.09,566.0
2.1,554.0
2.11,566.0
2.12,535.0
2.13,579.0
2.14,720.0
2.15,685.0
2.16,519.0
2.17,544.0
2.18,545.0
2.19,560.0
2.2,552.0
2.21,569.0
2.22,550.0
2.23,577.0
2.24,550.0
2.25,580.0
2.2600000000000002,554.0
2.27,574.0
2.2800000000000002,566.0
2.29,578.0
2.3000000000000003,566.0
2.31,582.0
2.32,567.0
2.33,586.0
2.34,576.0
2.35,595.0
2.36,577.0
2.37,601.0
2.38,578.0
2.39,598.0
2.4,567.0
2.41,586.0
2.42,547.0
2.43,570.0
2.44,535.0
2.45,560.0
2.46,533.0
2.47,565.0
2.48,528.0
2.49,566.0
2.5,532.0
2.5100000000000002,571.0
2.52,533.0
2.5300000000000002,574.0
2.54,535.0
2.5500000000000003,578.0
2.56,536.0
2.57,579.0
2.58,535.0
2.59,578.0
2.6,536.0
2.61,578.0
2.62,533.0
2.63,579.0
2.64,528.0
2.65,581.0
2.66,531.0
2.67,579.0
2.68,530.0
2.69,584.0
2.7,530.0
2.71,585.0
2.72,530.0
2.73,588.0
2.74,533.0
2.75,586.0
2.7600000000000002,534.0
2.77,594.0
2.7800000000000002,537.0
2.79,601.0
2.8000000000000003,542.0
2.81,591.0
2.82,535.0
2.83,591.0
2.84,528.0
2.85,586.0
2.86,528.0
2.87,589.0
2.88,525.0
2.89,591.0
2.9,526.0
2.91,592.0
2.92,524.0
2.93,577.0
2.94,550.0
2.95,763.0
2.96,627.0
2.97,556.0
2.98,501.0
2.99,583.0
3.0,519.0
3.0100000000000002,596.0
3.02,526.0
3.0300000000000002,594.0
3.04,532.0
3.0500000000000003,600.0
3.06,534.0
3.0700000000000003,601.0
3.08,535.0
3.09,606.0
3.1,543.0
3.11,607.0
3.12,541.0
3.13,609.0
3.14,549.0
3.15,617.0
3.16,554.0
3.17,618.0
3.18,558.0
3.19,619.0
3.2,556.0
3.21,612.0
3.22,543.0
3.23,597.0
3.24,526.0
3.25,581.0
3.2600000000000002,518.0
3.27,572.0
3.2800000000000002,513.0
3.29,569.0
3.3000000000000003,518.0
3.31,569.0
3.3200000000000003,521.0
3.33,579.0
3.34,526.0
3.35,578.0
3.36,525.0
3.37,574.0
3.38,525.0
3.39,576.0
3.4,531.0
3.41,577.0
3.42,533.0
3.43,571.0
3.44,526.0
3.45,576.0
3.46,532.0
3.47,572.0
3.48,535.0
3.49,574.0
3.5,538.0
3.5100000000000002,574.0
3.52,534.0
3.5300000000000002,572.0
3.54,541.0
3.5500000000000003,580.0
3.56,546.0
3.5700000000000003,582.0
3.58,557.0
3.59,585.0
3.6,554.0
3.61,572.0
3.62,553.0
3.63,566.0
3.64,545.0
3.65,565.0
3.66,546.0
3.67,565.0
3.68,552.0
3.69,562.0
3.7,553.0
3.71,561.0
3.72,532.0
3.73,595.0
3.74,721.0
3.75,665.0
3.7600000000000002,518.0
3.77,540.0
3.7800000000000002,545.0
3.79,549.0
3.8000000000000003,558.0
3.81,556.0
3.8200000000000003,558.0
3.83,557.0
3.84,560.0
3.85,556.0
3.86,565.0
3.87,561.0
3.88,566.0
3.89,566.0
3.9,578.0
3.91,562.0
3.92,577.0
3.93,570.0
3.94,584.0
3.95,570.0
3.96,586.0
3.97,579.0
3.98,593.0
3.99,572.0
4.0,589.0
4.01,560.0
4.0200000000000005,576.0
4.03,546.0
4.04,565.0
4.05,541.0
4.0600000000000005,567.0
4.07,545.0
4.08,571.0
4.09,545.0
4.1,572.0
4.11,547.0
4.12,577.0
4.13,549.0
4.14,584.0
4.15,550.0
4.16,582.0
4.17,552.0
4.18,585.0
4.19,543.0
4.2,579.0
4.21,540.0
4.22,578.0
4.23,540.0
4.24,577.0
4.25,536.0
4.26,578.0
4.2700000000000005,537.0
4.28,585.0
4.29,546.0
4.3,593.0
4.3100000000000005,549.0
4.32,606.0
4.33,542.0
4.34,592.0
4.3500000000000005,535.0
4.36,592.0
4.37,535.0
4.38,590.0
4.39,534.0
4.4,586.0
4.41,536.0
4.42,588.0
4.43,532.0
4.44,586.0
4.45,512.0
4.46,577.0
4.47,667.0
