Time,ADC
0.0,985.0
0.01,1024.0
0.02,1024.0
0.03,1024.0
0.04,1024.0
0.05,1024.0
0.06,1024.0
0.07,1024.0
0.08,1024.0
0.09,1024.0
0.1,1024.0
0.11,1024.0
0.12,1024.0
0.13,1024.0
0.14,1024.0
0.15,1024.0
0.16,1024.0
0.17,1024.0
0.18,1024.0
0.19,979.0
0.2,932.0
0.21,932.0
0.22,860.0
0.23,840.0
0.24,749.0
0.25,806.0
0.26,894.0
0.27,739.0
0.28,571.0
0.29,574.0
0.3,542.0
0.31,509.0
0.32,505.0
0.33,456.0
0.34,470.0
0.35000000000000003,426.0
0.36,449.0
0.37,388.0
0.38,426.0
0.39,341.0
0.4,386.0
0.41000000000000003,319.0
0.42,350.0
0.43,259.0
0.44,291.0
0.45,216.0
0.46,265.0
0.47000000000000003,183.0
0.48,242.0
0.49,162.0
0.5,216.0
0.51,133.0
0.52,211.0
0.53,123.0
0.54,207.0
0.55,135.0
0.56,223.0
0.5700000000000001,136.0
0.58,225.0
0.59,146.0
0.6,224.0
0.61,130.0
0.62,228.0
0.63,121.0
0.64,228.0
0.65,114.0
0.66,198.0
0.67,89.0
0.68,168.0
0.6900000000000001,37.0
0.7000000000000001,137.0
0.71,16.0
0.72,77.0
0.73,16.0
0.74,38.0
0.75,16.0
0.76,16.0
0.77,16.0
0.78,19.0
0.79,78.0
0.8,33.0
0.81,16.0
0.8200000000000001,16.0
0.8300000000000001,16.0
0.84,16.0
0.85,16.0
0.86,16.0
0.87,16.0
0.88,16.0
0.89,16.0
0.9,16.0
0.91,16.0
0.92,16.0
0.93,16.0
0.9400000000000001,16.0
0.9500000000000001,16.0
0.96,16.0
0.97,16.0
0.98,16.0
0.99,16.0
1.0,16.0
1.01,16.0
1.02,16.0
1.03,16.0
1.04,16.0
1.05,16.0
1.06,16.0
1.07,16.0
1.08,16.0
1.09,16.0
1.1,80.0
1.11,33.0
1.12,163.0
1.1300000000000001,65.0
1.1400000000000001,208.0
1.1500000000000001,100.0
1.16,262.0
1.17,154.0
1.18,303.0
1.19,194.0
1.2,310.0
1.21,214.0
1.22,325.0
1.23,224.0
1.24,344.0
1.25,244.0
1.26,373.0
1.27,267.0
1.28,390.0
1.29,283.0
1.3,367.0
1.31,363.0
1.32,604.0
1.33,394.0
1.34,360.0
1.35,322.0
1.36,432.0
1.37,346.0
1.3800000000000001,449.0
1.3900000000000001,349.0
1.4000000000000001,445.0
1.41,366.0
1.42,452.0
1.43,377.0
1.44,451.0
1.45,367.0
1.46,449.0
1.47,365.0
1.48,429.0
1.49,361.0
1.5,412.0
