Time,ADC
0.0,598.0
0.01,570.0
0.02,545.0
0.03,546.0
0.04,540.0
0.05,537.0
0.06,540.0
0.07,541.0
0.08,520.0
0.09,508.0
0.1,645.0
0.11,917.0
0.12,1024.0
0.13,533.0
0.14,493.0
0.15,516.0
0.16,542.0
0.17,546.0
0.18,541.0
0.19,550.0
0.2,552.0
0.21,553.0
0.22,560.0
0.23,562.0
0.24,566.0
0.25,568.0
0.26,574.0
0.27,581.0
0.28,590.0
0.29,598.0
0.3,604.0
0.31,618.0
0.32,634.0
0.33,649.0
0.34,662.0
0.35000000000000003,673.0
0.36,677.0
0.37,679.0
0.38,674.0
0.39,655.0
0.4,628.0
0.41000000000000003,601.0
0.42,577.0
0.43,555.0
0.44,543.0
0.45,535.0
0.46,533.0
0.47000000000000003,532.0
0.48,532.0
0.49,530.0
0.5,531.0
0.51,536.0
0.52,536.0
0.53,537.0
0.54,540.0
0.55,541.0
0.56,544.0
0.5700000000000001,541.0
0.58,541.0
0.59,541.0
0.6,542.0
0.61,536.0
0.62,537.0
0.63,537.0
0.64,534.0
0.65,534.0
0.66,534.0
0.67,534.0
0.68,534.0
0.6900000000000001,534.0
0.7000000000000001,536.0
0.71,533.0
0.72,534.0
0.73,534.0
0.74,532.0
0.75,531.0
0.76,531.0
0.77,531.0
0.78,530.0
0.79,531.0
0.8,530.0
0.81,531.0
0.8200000000000001,532.0
0.8300000000000001,532.0
0.84,532.0
0.85,533.0
0.86,536.0
0.87,533.0
0.88,532.0
0.89,534.0
0.9,533.0
0.91,532.0
0.92,533.0
0.93,534.0
0.9400000000000001,535.0
0.9500000000000001,532.0
0.96,535.0
0.97,549.0
0.98,569.0
0.99,580.0
1.0,591.0
1.01,556.0
1.02,540.0
1.03,533.0
1.04,526.0
1.05,525.0
1.06,522.0
1.07,526.0
1.08,507.0
1.09,492.0
1.1,617.0
1.11,877.0
1.12,1024.0
1.1300000000000001,507.0
1.1400000000000001,448.0
1.1500000000000001,489.0
1.16,509.0
1.17,532.0
1.18,521.0
1.19,531.0
1.2,534.0
1.21,533.0
1.22,541.0
1.23,544.0
1.24,545.0
1.25,552.0
1.26,554.0
1.27,558.0
1.28,566.0
1.29,576.0
1.3,584.0
1.31,593.0
1.32,606.0
1.33,617.0
1.34,634.0
1.35,644.0
1.36,644.0
1.37,646.0
1.3800000000000001,641.0
1.3900000000000001,625.0
1.4000000000000001,604.0
1.41,578.0
1.42,554.0
1.43,536.0
1.44,520.0
1.45,512.0
1.46,511.0
1.47,512.0
1.48,508.0
1.49,506.0
1.5,509.0
1.51,514.0
1.52,513.0
1.53,516.0
1.54,516.0
1.55,517.0
1.56,518.0
1.57,516.0
1.58,518.0
1.59,520.0
1.6,518.0
1.61,513.0
1.62,513.0
1.6300000000000001,512.0
1.6400000000000001,509.0
1.6500000000000001,514.0
1.6600000000000001,518.0
1.67,512.0
1.68,513.0
1.69,513.0
1.7,510.0
1.71,510.0
1.72,513.0
1.73,509.0
1.74,509.0
1.75,511.0
1.76,510.0
1.77,513.0
1.78,508.0
1.79,512.0
1.8,512.0
1.81,511.0
1.82,516.0
1.83,512.0
1.84,512.0
1.85,516.0
1.86,518.0
1.87,531.0
1.8800000000000001,546.0
1.8900000000000001,558.0
1.9000000000000001,559.0
1.9100000000000001,535.0
1.92,518.0
1.93,523.0
1.94,511.0
1.95,507.0
1.96,509.0
1.97,508.0
1.98,506.0
1.99,466.0
2.0,546.0
2.0100000000000002,780.0
2.02,1002.0
2.0300000000000002,651.0
2.04,378.0
2.05,475.0
2.06,474.0
2.07,518.0
2.08,505.0
2.09,509.0
2.1,517.0
2.11,519.0
2.12,524.0
2.13,528.0
2.14,531.0
2.15,535.0
2.16,541.0
2.17,548.0
2.18,553.0
2.19,560.0
2.2,569.0
2.21,582.0
2.22,596.0
2.23,609.0
2.24,625.0
2.25,638.0
2.2600000000000002,645.0
2.27,649.0
2.2800000000000002,645.0
2.29,629.0
2.3000000000000003,606.0
2.31,577.0
2.32,553.0
2.33,530.0
2.34,513.0
2.35,506.0
2.36,499.0
2.37,498.0
2.38,498.0
2.39,499.0
2.4,498.0
2.41,504.0
2.42,508.0
2.43,508.0
2.44,511.0
2.45,513.0
2.46,516.0
2.47,516.0
2.48,516.0
2.49,516.0
2.5,516.0
2.5100000000000002,514.0
2.52,516.0
2.5300000000000002,513.0
2.54,513.0
2.5500000000000003,513.0
2.56,516.0
2.57,519.0
2.58,516.0
2.59,516.0
2.6,521.0
2.61,518.0
2.62,519.0
2.63,519.0
2.64,522.0
2.65,520.0
2.66,521.0
2.67,523.0
2.68,522.0
2.69,523.0
2.7,525.0
2.71,525.0
2.72,525.0
2.73,526.0
2.74,528.0
2.75,530.0
2.7600000000000002,530.0
2.77,528.0
2.7800000000000002,530.0
2.79,530.0
2.8000000000000003,531.0
2.81,532.0
2.82,535.0
2.83,554.0
2.84,567.0
2.85,577.0
2.86,565.0
2.87,541.0
2.88,535.0
2.89,532.0
2.9,522.0
2.91,522.0
2.92,522.0
2.93,525.0
2.94,512.0
2.95,498.0
2.96,641.0
2.97,905.0
2.98,1024.0
2.99,510.0
3.0,478.0
3.0100000000000002,496.0
3.02,526.0
3.0300000000000002,530.0
3.04,523.0
3.0500000000000003,533.0
3.06,533.0
3.0700000000000003,537.0
3.08,542.0
3.09,543.0
3.1,547.0
3.11,552.0
3.12,554.0
3.13,561.0
3.14,569.0
3.15,578.0
3.16,590.0
3.17,602.0
3.18,617.0
3.19,632.0
3.2,648.0
3.21,661.0
3.22,664.0
3.23,666.0
3.24,661.0
3.25,642.0
3.2600000000000002,615.0
3.27,585.0
3.2800000000000002,558.0
3.29,535.0
3.3000000000000003,524.0
3.31,514.0
3.3200000000000003,507.0
3.33,511.0
3.34,511.0
3.35,511.0
3.36,514.0
3.37,516.0
3.38,518.0
3.39,518.0
3.4,520.0
3.41,521.0
3.42,523.0
3.43,522.0
3.44,522.0
3.45,525.0
3.46,524.0
3.47,522.0
3.48,522.0
3.49,521.0
3.5,522.0
3.5100000000000002,523.0
3.52,521.0
3.5300000000000002,520.0
3.54,518.0
3.5500000000000003,521.0
3.56,522.0
3.5700000000000003,523.0
3.58,522.0
3.59,522.0
3.6,520.0
3.61,520.0
3.62,523.0
3.63,524.0
3.64,521.0
3.65,524.0
3.66,525.0
3.67,519.0
3.68,524.0
3.69,522.0
3.7,521.0
3.71,524.0
3.72,517.0
3.73,516.0
3.74,516.0
3.75,513.0
3.7600000000000002,517.0
3.77,517.0
3.7800000000000002,517.0
3.79,517.0
3.8000000000000003,514.0
3.81,514.0
3.8200000000000003,514.0
3.83,516.0
3.84,532.0
3.85,546.0
3.86,555.0
3.87,553.0
3.88,521.0
3.89,514.0
3.9,513.0
3.91,502.0
3.92,496.0
3.93,498.0
3.94,497.0
3.95,476.0
3.96,457.0
3.97,588.0
3.98,843.0
3.99,996.0
4.0,477.0
4.01,416.0
4.0200000000000005,449.0
4.03,470.0
4.04,486.0
4.05,470.0
4.0600000000000005,480.0
4.07,482.0
4.08,481.0
4.09,486.0
4.1,488.0
4.11,493.0
4.12,492.0
4.13,497.0
4.14,496.0
4.15,506.0
4.16,509.0
4.17,513.0
4.18,525.0
4.19,535.0
4.2,545.0
4.21,559.0
4.22,570.0
4.23,571.0
4.24,571.0
4.25,565.0
4.26,553.0
4.2700000000000005,528.0
4.28,497.0
4.29,474.0
4.3,452.0
4.3100000000000005,433.0
4.32,416.0
4.33,411.0
4.34,410.0
4.3500000000000005,405.0
4.36,402.0
4.37,402.0
4.38,403.0
4.39,403.0
4.4,403.0
4.41,403.0
4.42,404.0
4.43,402.0
4.44,401.0
4.45,398.0
4.46,398.0
4.47,397.0
4.48,396.0
4.49,388.0
4.5,390.0
4.51,385.0
4.5200000000000005,387.0
4.53,385.0
4.54,385.0
4.55,379.0
4.5600000000000005,379.0
4.57,378.0
4.58,378.0
4.59,375.0
4.6000000000000005,374.0
4.61,375.0
4.62,374.0
4.63,376.0
4.64,372.0
4.65,373.0
4.66,374.0
4.67,373.0
4.68,374.0
4.69,373.0
4.7,374.0
4.71,375.0
4.72,378.0
4.73,393.0
4.74,402.0
4.75,414.0
4.76,417.0
4.7700000000000005,393.0
4.78,382.0
4.79,384.0
4.8,375.0
4.8100000000000005,372.0
4.82,376.0
4.83,379.0
4.84,367.0
4.8500000000000005,336.0
4.86,433.0
4.87,690.0
4.88,878.0
4.89,457.0
4.9,272.0
4.91,355.0
4.92,360.0
4.93,402.0
4.94,388.0
4.95,396.0
4.96,401.0
4.97,406.0
4.98,409.0
4.99,414.0
5.0,423.0
5.01,428.0
5.0200000000000005,430.0
5.03,439.0
5.04,448.0
5.05,459.0
5.0600000000000005,465.0
5.07,480.0
5.08,494.0
5.09,507.0
5.1000000000000005,522.0
5.11,537.0
5.12,546.0
5.13,546.0
5.14,548.0
5.15,537.0
5.16,512.0
5.17,487.0
5.18,465.0
5.19,444.0
5.2,435.0
5.21,427.0
5.22,426.0
5.23,425.0
5.24,426.0
5.25,429.0
5.26,432.0
5.2700000000000005,439.0
5.28,440.0
5.29,446.0
5.3,449.0
5.3100000000000005,454.0
5.32,457.0
5.33,458.0
5.34,461.0
5.3500000000000005,463.0
5.36,466.0
5.37,469.0
5.38,470.0
5.39,471.0
5.4,477.0
5.41,481.0
5.42,480.0
5.43,484.0
5.44,485.0
5.45,488.0
5.46,493.0
5.47,493.0
5.48,492.0
5.49,496.0
5.5,497.0
5.51,501.0
5.5200000000000005,505.0
5.53,504.0
5.54,508.0
