Time,ADC
0.0,530.0
0.01,525.0
0.02,530.0
0.03,526.0
0.04,530.0
0.05,532.0
0.06,535.0
0.07,536.0
0.08,541.0
0.09,540.0
0.1,543.0
0.11,542.0
0.12,544.0
0.13,543.0
0.14,545.0
0.15,544.0
0.16,548.0
0.17,544.0
0.18,552.0
0.19,543.0
0.2,552.0
0.21,544.0
0.22,550.0
0.23,545.0
0.24,546.0
0.25,544.0
0.26,549.0
0.27,548.0
0.28,552.0
0.29,553.0
0.3,569.0
0.31,577.0
0.32,597.0
0.33,581.0
0.34,560.0
0.35000000000000003,554.0
0.36,548.0
0.37,537.0
0.38,534.0
0.39,534.0
0.4,541.0
0.41000000000000003,534.0
0.42,512.0
0.43,484.0
0.44,648.0
0.45,975.0
0.46,986.0
0.47000000000000003,468.0
0.48,512.0
0.49,495.0
0.5,534.0
0.51,532.0
0.52,534.0
0.53,541.0
0.54,544.0
0.55,545.0
0.56,553.0
0.5700000000000001,554.0
0.58,566.0
0.59,567.0
0.6,578.0
0.61,588.0
0.62,605.0
0.63,618.0
0.64,640.0
0.65,657.0
0.66,676.0
0.67,685.0
0.68,693.0
0.6900000000000001,685.0
0.7000000000000001,660.0
0.71,616.0
0.72,581.0
0.73,549.0
0.74,534.0
0.75,520.0
0.76,517.0
0.77,517.0
0.78,517.0
0.79,518.0
0.8,524.0
0.81,525.0
0.8200000000000001,532.0
0.8300000000000001,532.0
0.84,537.0
0.85,541.0
0.86,545.0
0.87,545.0
0.88,546.0
0.89,545.0
0.9,548.0
0.91,545.0
0.92,548.0
0.93,548.0
0.9400000000000001,550.0
0.9500000000000001,548.0
0.96,549.0
0.97,550.0
0.98,552.0
0.99,552.0
1.0,552.0
1.01,554.0
1.02,552.0
1.03,550.0
1.04,552.0
1.05,556.0
1.06,559.0
1.07,578.0
1.08,586.0
1.09,606.0
1.1,577.0
1.11,559.0
1.12,561.0
1.1300000000000001,555.0
1.1400000000000001,546.0
1.1500000000000001,546.0
1.16,550.0
1.17,549.0
1.18,546.0
1.19,499.0
1.2,560.0
1.21,811.0
1.22,1024.0
1.23,805.0
1.24,485.0
1.25,533.0
1.26,537.0
1.27,564.0
1.28,552.0
1.29,559.0
1.3,566.0
1.31,569.0
1.32,572.0
1.33,585.0
1.34,586.0
1.35,591.0
1.36,600.0
1.37,612.0
1.3800000000000001,622.0
1.3900000000000001,637.0
1.4000000000000001,655.0
1.41,678.0
1.42,699.0
1.43,715.0
1.44,727.0
1.45,734.0
1.46,712.0
1.47,674.0
1.48,631.0
1.49,593.0
1.5,561.0
1.51,552.0
1.52,540.0
1.53,533.0
1.54,530.0
1.55,533.0
1.56,531.0
1.57,533.0
1.58,534.0
1.59,540.0
1.6,540.0
1.61,543.0
1.62,541.0
1.6300000000000001,545.0
1.6400000000000001,543.0
1.6500000000000001,546.0
1.6600000000000001,542.0
1.67,546.0
1.68,543.0
1.69,543.0
1.7,542.0
1.71,543.0
1.72,541.0
1.73,543.0
1.74,542.0
1.75,546.0
1.76,542.0
1.77,544.0
1.78,544.0
1.79,548.0
1.8,544.0
1.81,550.0
1.82,549.0
1.83,554.0
1.84,550.0
1.85,556.0
1.86,558.0
1.87,576.0
1.8800000000000001,585.0
1.8900000000000001,605.0
1.9000000000000001,594.0
1.9100000000000001,567.0
1.92,565.0
1.93,562.0
1.94,550.0
1.95,553.0
1.96,554.0
1.97,449.0
1.98,264.0
1.99,386.0
2.0,436.0
2.0100000000000002,962.0
2.02,1024.0
2.0300000000000002,1024.0
2.04,711.0
2.05,616.0
2.06,615.0
2.07,597.0
2.08,593.0
2.09,601.0
2.1,596.0
2.11,597.0
2.12,591.0
2.13,585.0
2.14,596.0
2.15,597.0
2.16,600.0
2.17,588.0
2.18,595.0
2.19,596.0
2.2,137.0
2.21,532.0
2.22,840.0
2.23,985.0
2.24,953.0
2.25,894.0
2.2600000000000002,800.0
2.27,720.0
2.2800000000000002,665.0
2.29,629.0
2.3000000000000003,596.0
2.31,571.0
2.32,552.0
2.33,508.0
2.34,496.0
2.35,530.0
2.36,543.0
2.37,518.0
2.38,549.0
2.39,537.0
2.4,476.0
2.41,20.0
2.42,297.0
2.43,706.0
2.44,752.0
2.45,830.0
2.46,643.0
2.47,577.0
2.48,561.0
2.49,554.0
2.5,550.0
2.5100000000000002,544.0
2.52,545.0
2.5300000000000002,509.0
2.54,469.0
2.5500000000000003,556.0
2.56,556.0
2.57,569.0
2.58,554.0
2.59,558.0
2.6,535.0
2.61,341.0
2.62,178.0
2.63,606.0
2.64,595.0
2.65,761.0
2.66,746.0
2.67,645.0
2.68,594.0
2.69,574.0
2.7,569.0
2.71,562.0
2.72,566.0
2.73,566.0
2.74,554.0
2.75,534.0
2.7600000000000002,540.0
2.77,554.0
2.7800000000000002,601.0
2.79,586.0
2.8000000000000003,576.0
2.81,546.0
2.82,507.0
2.83,145.0
2.84,570.0
2.85,589.0
2.86,705.0
2.87,914.0
2.88,652.0
2.89,624.0
2.9,593.0
2.91,581.0
2.92,582.0
2.93,577.0
2.94,578.0
2.95,573.0
2.96,550.0
2.97,545.0
2.98,560.0
2.99,600.0
3.0,571.0
3.0100000000000002,554.0
3.02,176.0
3.0300000000000002,319.0
3.04,786.0
3.0500000000000003,718.0
3.06,781.0
3.0700000000000003,709.0
3.08,666.0
3.09,609.0
3.1,609.0
3.11,627.0
3.12,608.0
3.13,598.0
3.14,578.0
3.15,546.0
3.16,544.0
3.17,513.0
3.18,588.0
3.19,585.0
3.2,580.0
3.21,520.0
3.22,634.0
3.23,775.0
3.24,712.0
3.25,619.0
3.2600000000000002,632.0
3.27,675.0
3.2800000000000002,802.0
3.29,681.0
3.3000000000000003,619.0
3.31,590.0
3.3200000000000003,576.0
3.33,569.0
3.34,583.0
3.35,577.0
3.36,576.0
3.37,549.0
3.38,581.0
3.39,583.0
3.4,643.0
3.41,644.0
3.42,642.0
3.43,633.0
3.44,545.0
3.45,145.0
3.46,896.0
3.47,789.0
3.48,824.0
3.49,956.0
3.5,758.0
3.5100000000000002,662.0
3.52,606.0
3.5300000000000002,559.0
3.54,555.0
3.5500000000000003,542.0
3.56,542.0
3.5700000000000003,521.0
3.58,528.0
3.59,485.0
3.6,542.0
3.61,552.0
3.62,532.0
3.63,562.0
3.64,536.0
3.65,537.0
3.66,514.0
3.67,274.0
3.68,321.0
3.69,626.0
3.7,524.0
3.71,710.0
3.72,749.0
3.73,610.0
3.74,589.0
3.75,553.0
3.7600000000000002,548.0
3.77,546.0
3.7800000000000002,549.0
3.79,544.0
3.8000000000000003,540.0
3.81,525.0
3.8200000000000003,522.0
3.83,533.0
3.84,526.0
3.85,509.0
3.86,558.0
3.87,521.0
3.88,536.0
3.89,516.0
3.9,541.0
3.91,504.0
3.92,440.0
3.93,298.0
3.94,505.0
3.95,642.0
3.96,637.0
3.97,686.0
3.98,632.0
3.99,559.0
4.0,552.0
4.01,546.0
4.0200000000000005,545.0
4.03,548.0
4.04,552.0
4.05,553.0
4.0600000000000005,541.0
4.07,535.0
4.08,530.0
4.09,550.0
4.1,558.0
4.11,546.0
4.12,534.0
4.13,521.0
4.14,511.0
4.15,492.0
4.16,483.0
4.17,487.0
4.18,477.0
4.19,474.0
4.2,428.0
4.21,475.0
4.22,725.0
4.23,996.0
4.24,626.0
4.25,387.0
4.26,465.0
4.2700000000000005,446.0
4.28,476.0
4.29,468.0
4.3,472.0
4.3100000000000005,481.0
4.32,473.0
4.33,485.0
4.34,488.0
4.3500000000000005,494.0
4.36,505.0
4.37,511.0
4.38,513.0
4.39,532.0
4.4,543.0
4.41,559.0
4.42,465.0
4.43,565.0
4.44,662.0
4.45,601.0
4.46,715.0
4.47,681.0
4.48,651.0
4.49,610.0
4.5,555.0
4.51,524.0
4.5200000000000005,493.0
4.53,487.0
4.54,468.0
4.55,465.0
4.5600000000000005,449.0
4.57,450.0
4.58,456.0
4.59,448.0
4.6000000000000005,444.0
4.61,448.0
4.62,360.0
4.63,286.0
4.64,494.0
4.65,435.0
4.66,463.0
4.67,584.0
4.68,544.0
4.69,518.0
4.7,471.0
4.71,464.0
4.72,459.0
4.73,459.0
4.74,449.0
4.75,456.0
4.76,441.0
4.7700000000000005,433.0
4.78,433.0
4.79,421.0
4.8,415.0
4.8100000000000005,441.0
4.82,438.0
4.83,459.0
4.84,403.0
4.8500000000000005,442.0
4.86,406.0
4.87,423.0
4.88,392.0
4.89,542.0
4.9,494.0
4.91,469.0
4.92,463.0
4.93,460.0
4.94,457.0
4.95,480.0
4.96,492.0
4.97,529.0
4.98,459.0
4.99,457.0
5.0,457.0
5.01,439.0
5.0200000000000005,442.0
5.03,416.0
5.04,475.0
5.05,445.0
5.0600000000000005,438.0
5.07,412.0
5.08,531.0
5.09,828.0
5.1000000000000005,1024.0
5.11,510.0
5.12,430.0
5.13,438.0
5.14,465.0
5.15,461.0
5.16,465.0
5.17,472.0
5.18,464.0
5.19,483.0
5.2,469.0
5.21,505.0
5.22,482.0
5.23,507.0
5.24,523.0
5.25,518.0
5.26,529.0
5.2700000000000005,534.0
5.28,568.0
5.29,589.0
5.3,607.0
5.3100000000000005,624.0
5.32,636.0
5.33,615.0
5.34,614.0
5.3500000000000005,580.0
5.36,528.0
5.37,488.0
5.38,452.0
5.39,454.0
5.4,430.0
5.41,414.0
5.42,415.0
5.43,421.0
5.44,422.0
5.45,424.0
5.46,415.0
5.47,439.0
5.48,441.0
5.49,440.0
5.5,448.0
5.51,436.0
5.5200000000000005,442.0
5.53,447.0
5.54,438.0
5.55,446.0
5.5600000000000005,452.0
5.57,446.0
5.58,448.0
5.59,449.0
5.6000000000000005,454.0
5.61,451.0
5.62,448.0
5.63,449.0
5.64,460.0
5.65,461.0
5.66,458.0
5.67,459.0
5.68,464.0
5.69,475.0
5.7,458.0
5.71,468.0
5.72,478.0
5.73,509.0
5.74,517.0
5.75,528.0
5.76,492.0
5.7700000000000005,493.0
5.78,485.0
5.79,470.0
