Time,ADC
0.0,526.0
0.01,532.0
0.02,534.0
0.03,532.0
0.04,532.0
0.05,532.0
0.06,533.0
0.07,534.0
0.08,526.0
0.09,531.0
0.1,532.0
0.11,533.0
0.12,531.0
0.13,534.0
0.14,533.0
0.15,533.0
0.16,535.0
0.17,534.0
0.18,535.0
0.19,535.0
0.2,537.0
0.21,538.0
0.22,536.0
0.23,537.0
0.24,536.0
0.25,537.0
0.26,537.0
0.27,541.0
0.28,541.0
0.29,543.0
0.3,538.0
0.31,543.0
0.32,542.0
0.33,545.0
0.34,544.0
0.35000000000000003,544.0
0.36,546.0
0.37,559.0
0.38,570.0
0.39,589.0
0.4,594.0
0.41000000000000003,566.0
0.42,552.0
0.43,552.0
0.44,542.0
0.45,542.0
0.46,542.0
0.47000000000000003,543.0
0.48,542.0
0.49,533.0
0.5,482.0
0.51,582.0
0.52,886.0
0.53,1024.0
0.54,598.0
0.55,476.0
0.56,505.0
0.5700000000000001,522.0
0.58,554.0
0.59,541.0
0.6,548.0
0.61,554.0
0.62,556.0
0.63,566.0
0.64,568.0
0.65,578.0
0.66,583.0
0.67,592.0
0.68,602.0
0.6900000000000001,614.0
0.7000000000000001,631.0
0.71,645.0
0.72,664.0
0.73,682.0
0.74,694.0
0.75,706.0
0.76,708.0
0.77,701.0
0.78,669.0
0.79,633.0
0.8,595.0
0.81,560.0
0.8200000000000001,544.0
0.8300000000000001,531.0
0.84,528.0
0.85,524.0
0.86,528.0
0.87,528.0
0.88,535.0
0.89,533.0
0.9,537.0
0.91,536.0
0.92,536.0
0.93,541.0
0.9400000000000001,548.0
0.9500000000000001,544.0
0.96,545.0
0.97,546.0
0.98,546.0
0.99,545.0
1.0,545.0
1.01,546.0
1.02,544.0
1.03,545.0
1.04,548.0
1.05,548.0
1.06,548.0
1.07,548.0
1.08,549.0
1.09,550.0
1.1,552.0
1.11,550.0
1.12,554.0
1.1300000000000001,555.0
1.1400000000000001,555.0
1.1500000000000001,553.0
1.16,556.0
1.17,555.0
1.18,556.0
1.19,555.0
1.2,558.0
1.21,556.0
1.22,560.0
1.23,561.0
1.24,576.0
1.25,592.0
1.26,607.0
1.27,608.0
1.28,576.0
1.29,562.0
1.3,567.0
1.31,554.0
1.32,552.0
1.33,550.0
1.34,553.0
1.35,553.0
1.36,542.0
1.37,487.0
1.3800000000000001,606.0
1.3900000000000001,925.0
1.4000000000000001,1024.0
1.41,665.0
1.42,494.0
1.43,521.0
1.44,542.0
1.45,559.0
1.46,552.0
1.47,560.0
1.48,566.0
1.49,566.0
1.5,570.0
1.51,577.0
1.52,583.0
1.53,593.0
1.54,604.0
1.55,612.0
1.56,624.0
1.57,636.0
1.58,654.0
1.59,674.0
1.6,693.0
1.61,713.0
1.62,723.0
1.6300000000000001,724.0
1.6400000000000001,714.0
1.6500000000000001,677.0
1.6600000000000001,632.0
1.67,591.0
1.68,561.0
1.69,542.0
1.7,532.0
1.71,524.0
1.72,524.0
1.73,521.0
1.74,523.0
1.75,524.0
1.76,524.0
1.77,524.0
1.78,530.0
1.79,532.0
1.8,533.0
1.81,535.0
1.82,537.0
1.83,536.0
1.84,541.0
1.85,535.0
1.86,537.0
1.87,541.0
1.8800000000000001,537.0
1.8900000000000001,537.0
1.9000000000000001,540.0
1.9100000000000001,538.0
1.92,537.0
1.93,540.0
1.94,541.0
1.95,543.0
1.96,542.0
1.97,543.0
1.98,543.0
1.99,543.0
2.0,543.0
2.0100000000000002,545.0
2.02,545.0
2.0300000000000002,544.0
2.04,545.0
2.05,550.0
2.06,548.0
2.07,550.0
2.08,550.0
2.09,549.0
2.1,558.0
2.11,576.0
2.12,590.0
2.13,605.0
2.14,577.0
2.15,558.0
2.16,558.0
2.17,553.0
2.18,548.0
2.19,544.0
2.2,545.0
2.21,548.0
2.22,545.0
2.23,494.0
2.24,541.0
2.25,801.0
2.2600000000000002,1024.0
2.27,902.0
2.2800000000000002,488.0
2.29,521.0
2.3000000000000003,522.0
2.31,560.0
2.32,544.0
2.33,552.0
2.34,555.0
2.35,559.0
2.36,562.0
2.37,569.0
2.38,572.0
2.39,583.0
2.4,589.0
2.41,598.0
2.42,609.0
2.43,624.0
2.44,641.0
2.45,662.0
2.46,679.0
2.47,703.0
2.48,714.0
2.49,723.0
2.5,713.0
2.5100000000000002,681.0
2.52,638.0
2.5300000000000002,597.0
2.54,559.0
2.5500000000000003,538.0
2.56,521.0
2.57,512.0
2.58,508.0
2.59,512.0
2.6,511.0
2.61,512.0
2.62,512.0
2.63,516.0
2.64,519.0
2.65,521.0
2.66,520.0
2.67,524.0
2.68,526.0
2.69,529.0
2.7,526.0
2.71,531.0
2.72,531.0
2.73,532.0
2.74,530.0
2.75,532.0
2.7600000000000002,529.0
2.77,532.0
2.7800000000000002,534.0
2.79,535.0
2.8000000000000003,533.0
2.81,538.0
2.82,534.0
2.83,538.0
2.84,534.0
2.85,534.0
2.86,532.0
2.87,534.0
2.88,535.0
2.89,535.0
2.9,535.0
2.91,540.0
2.92,538.0
2.93,535.0
2.94,538.0
2.95,542.0
2.96,545.0
2.97,561.0
2.98,573.0
2.99,595.0
3.0,577.0
3.0100000000000002,552.0
3.02,549.0
3.0300000000000002,544.0
3.04,537.0
3.0500000000000003,533.0
3.06,534.0
3.0700000000000003,538.0
3.08,533.0
3.09,499.0
3.1,492.0
3.11,687.0
3.12,1024.0
3.13,1024.0
3.14,518.0
3.15,511.0
3.16,507.0
3.17,548.0
3.18,538.0
3.19,538.0
3.2,546.0
3.21,548.0
3.22,554.0
3.23,562.0
3.24,569.0
3.25,578.0
3.2600000000000002,585.0
3.27,594.0
3.2800000000000002,604.0
3.29,617.0
3.3000000000000003,636.0
3.31,656.0
3.3200000000000003,675.0
3.33,694.0
3.34,713.0
3.35,721.0
3.36,720.0
3.37,692.0
3.38,651.0
3.39,605.0
3.4,567.0
3.41,541.0
3.42,524.0
3.43,518.0
3.44,512.0
3.45,511.0
3.46,511.0
3.47,509.0
3.48,512.0
3.49,514.0
3.5,516.0
3.5100000000000002,517.0
3.52,520.0
3.5300000000000002,521.0
3.54,524.0
3.5500000000000003,525.0
3.56,530.0
3.5700000000000003,530.0
3.58,528.0
3.59,526.0
3.6,526.0
3.61,531.0
3.62,531.0
3.63,530.0
3.64,528.0
3.65,526.0
3.66,528.0
3.67,528.0
3.68,531.0
3.69,531.0
3.7,530.0
3.71,534.0
3.72,533.0
3.73,535.0
3.74,534.0
3.75,532.0
3.7600000000000002,534.0
3.77,538.0
3.7800000000000002,538.0
3.79,545.0
3.8000000000000003,560.0
3.81,571.0
3.8200000000000003,590.0
3.83,567.0
3.84,547.0
3.85,546.0
3.86,541.0
3.87,532.0
3.88,533.0
3.89,536.0
3.9,534.0
3.91,534.0
3.92,488.0
3.93,514.0
3.94,750.0
3.95,1024.0
3.96,910.0
3.97,460.0
3.98,516.0
3.99,498.0
4.0,546.0
4.01,540.0
4.0200000000000005,537.0
4.03,549.0
4.04,552.0
4.05,556.0
4.0600000000000005,565.0
4.07,569.0
4.08,578.0
4.09,584.0
4.1,594.0
4.11,605.0
4.12,621.0
4.13,636.0
4.14,656.0
4.15,675.0
4.16,694.0
4.17,713.0
4.18,714.0
4.19,703.0
4.2,672.0
4.21,632.0
4.22,591.0
4.23,556.0
4.24,535.0
4.25,524.0
4.26,518.0
4.2700000000000005,513.0
4.28,508.0
4.29,512.0
4.3,513.0
4.3100000000000005,513.0
4.32,521.0
4.33,525.0
4.34,524.0
4.3500000000000005,528.0
4.36,531.0
4.37,532.0
4.38,535.0
4.39,537.0
4.4,538.0
4.41,540.0
4.42,540.0
4.43,540.0
4.44,542.0
4.45,538.0
4.46,542.0
4.47,537.0
4.48,544.0
4.49,542.0
4.5,544.0
4.51,541.0
4.5200000000000005,545.0
4.53,545.0
4.54,545.0
4.55,543.0
4.5600000000000005,546.0
4.57,561.0
4.58,574.0
4.59,593.0
4.6000000000000005,596.0
4.61,566.0
4.62,558.0
4.63,558.0
4.64,545.0
4.65,542.0
4.66,545.0
4.67,545.0
4.68,544.0
4.69,542.0
4.7,489.0
4.71,560.0
4.72,854.0
4.73,1024.0
4.74,712.0
4.75,464.0
4.76,514.0
4.7700000000000005,521.0
4.78,565.0
4.79,546.0
4.8,555.0
4.8100000000000005,562.0
4.82,567.0
4.83,572.0
4.84,578.0
4.8500000000000005,583.0
4.86,593.0
4.87,601.0
4.88,609.0
4.89,619.0
4.9,640.0
4.91,661.0
4.92,681.0
4.93,703.0
4.94,714.0
4.95,727.0
4.96,727.0
4.97,702.0
4.98,663.0
4.99,615.0
5.0,580.0
5.01,556.0
5.0200000000000005,541.0
5.03,528.0
5.04,525.0
5.05,524.0
5.0600000000000005,521.0
5.07,519.0
