Time,ADC
0.0,270.0
0.01,267.0
0.02,267.0
0.03,270.0
0.04,271.0
0.05,274.0
0.06,273.0
0.07,273.0
0.08,274.0
0.09,291.0
0.1,302.0
0.11,320.0
0.12,313.0
0.13,284.0
0.14,283.0
0.15,276.0
0.16,265.0
0.17,267.0
0.18,267.0
0.19,270.0
0.2,257.0
0.21,216.0
0.22,306.0
0.23,582.0
0.24,836.0
0.25,440.0
0.26,237.0
0.27,249.0
0.28,243.0
0.29,272.0
0.3,253.0
0.31,264.0
0.32,267.0
0.33,267.0
0.34,273.0
0.35000000000000003,277.0
0.36,281.0
0.37,286.0
0.38,291.0
0.39,298.0
0.4,306.0
0.41000000000000003,317.0
0.42,322.0
0.43,331.0
0.44,345.0
0.45,355.0
0.46,367.0
0.47000000000000003,374.0
0.48,375.0
0.49,375.0
0.5,363.0
0.51,340.0
0.52,316.0
0.53,289.0
0.54,262.0
0.55,254.0
0.56,247.0
0.5700000000000001,241.0
0.58,236.0
0.59,236.0
0.6,235.0
0.61,235.0
0.62,238.0
0.63,246.0
0.64,248.0
0.65,245.0
0.66,248.0
0.67,254.0
0.68,253.0
0.6900000000000001,253.0
0.7000000000000001,254.0
0.71,255.0
0.72,254.0
0.73,249.0
0.74,253.0
0.75,253.0
0.76,248.0
0.77,249.0
0.78,249.0
0.79,249.0
0.8,253.0
0.81,249.0
0.8200000000000001,253.0
0.8300000000000001,253.0
0.84,255.0
0.85,253.0
0.86,252.0
0.87,252.0
0.88,254.0
0.89,256.0
0.9,255.0
0.91,256.0
0.92,259.0
0.93,256.0
0.9400000000000001,261.0
0.9500000000000001,258.0
0.96,262.0
0.97,260.0
0.98,262.0
0.99,264.0
1.0,282.0
1.01,290.0
1.02,307.0
1.03,298.0
1.04,277.0
1.05,270.0
1.06,264.0
1.07,256.0
1.08,257.0
1.09,259.0
1.1,258.0
1.11,254.0
1.12,209.0
1.1300000000000001,257.0
1.1400000000000001,497.0
1.1500000000000001,765.0
1.16,528.0
1.17,189.0
1.18,245.0
1.19,220.0
1.2,266.0
1.21,255.0
1.22,258.0
1.23,267.0
1.24,268.0
1.25,276.0
1.26,278.0
1.27,285.0
1.28,292.0
1.29,297.0
1.3,305.0
1.31,312.0
1.32,320.0
1.33,329.0
1.34,340.0
1.35,353.0
1.36,367.0
1.37,377.0
1.3800000000000001,387.0
1.3900000000000001,392.0
1.4000000000000001,392.0
1.41,379.0
1.42,360.0
1.43,331.0
1.44,306.0
1.45,288.0
1.46,270.0
1.47,259.0
1.48,257.0
1.49,257.0
1.5,255.0
1.51,254.0
1.52,258.0
1.53,257.0
1.54,259.0
1.55,264.0
1.56,266.0
1.57,266.0
1.58,272.0
1.59,272.0
1.6,271.0
1.61,267.0
1.62,273.0
1.6300000000000001,268.0
1.6400000000000001,267.0
1.6500000000000001,267.0
1.6600000000000001,268.0
1.67,266.0
1.68,266.0
1.69,265.0
1.7,267.0
1.71,267.0
1.72,265.0
1.73,267.0
1.74,266.0
1.75,264.0
1.76,266.0
1.77,268.0
1.78,266.0
1.79,266.0
1.8,267.0
1.81,267.0
1.82,267.0
1.83,268.0
1.84,270.0
1.85,273.0
1.86,276.0
1.87,276.0
1.8800000000000001,276.0
1.8900000000000001,276.0
1.9000000000000001,274.0
1.9100000000000001,276.0
1.92,283.0
1.93,298.0
1.94,310.0
1.95,316.0
1.96,288.0
1.97,273.0
1.98,274.0
1.99,267.0
2.0,262.0
2.0100000000000002,262.0
2.02,264.0
2.0300000000000002,264.0
2.04,226.0
2.05,229.0
2.06,415.0
2.07,757.0
2.08,739.0
2.09,269.0
2.1,268.0
2.11,228.0
2.12,267.0
2.13,257.0
2.14,256.0
2.15,265.0
2.16,267.0
2.17,271.0
2.18,274.0
2.19,282.0
2.2,284.0
2.21,292.0
2.22,301.0
2.23,306.0
2.24,313.0
2.25,322.0
2.2600000000000002,331.0
2.27,344.0
2.2800000000000002,356.0
2.29,369.0
2.3000000000000003,377.0
2.31,385.0
2.32,388.0
2.33,381.0
