Time,ADC
0.0,524.0
0.01,519.0
0.02,519.0
0.03,516.0
0.04,519.0
0.05,522.0
0.06,525.0
0.07,516.0
0.08,507.0
0.09,520.0
0.1,518.0
0.11,519.0
0.12,528.0
0.13,533.0
0.14,554.0
0.15,571.0
0.16,545.0
0.17,531.0
0.18,517.0
0.19,512.0
0.2,512.0
0.21,504.0
0.22,505.0
0.23,506.0
0.24,508.0
0.25,456.0
0.26,488.0
0.27,748.0
0.28,1024.0
0.29,656.0
0.3,412.0
0.31,488.0
0.32,472.0
0.33,514.0
0.34,513.0
0.35000000000000003,516.0
0.36,517.0
0.37,526.0
0.38,532.0
0.39,538.0
0.4,544.0
0.41000000000000003,552.0
0.42,555.0
0.43,568.0
0.44,573.0
0.45,585.0
0.46,602.0
0.47000000000000003,617.0
0.48,632.0
0.49,640.0
0.5,646.0
0.51,654.0
0.52,651.0
0.53,633.0
0.54,606.0
0.55,578.0
0.56,552.0
0.5700000000000001,535.0
0.58,526.0
0.59,522.0
0.6,522.0
0.61,524.0
0.62,525.0
0.63,528.0
0.64,529.0
0.65,532.0
0.66,534.0
0.67,536.0
0.68,533.0
0.6900000000000001,535.0
0.7000000000000001,537.0
0.71,537.0
0.72,536.0
0.73,538.0
0.74,533.0
0.75,536.0
0.76,536.0
0.77,535.0
0.78,538.0
0.79,535.0
0.8,537.0
0.81,541.0
0.8200000000000001,542.0
0.8300000000000001,537.0
0.84,543.0
0.85,541.0
0.86,542.0
0.87,543.0
0.88,544.0
0.89,547.0
0.9,577.0
0.91,579.0
0.92,600.0
0.93,572.0
0.9400000000000001,547.0
0.9500000000000001,553.0
0.96,543.0
0.97,537.0
0.98,543.0
0.99,543.0
1.0,542.0
1.01,501.0
1.02,514.0
1.03,744.0
1.04,1024.0
1.05,986.0
1.06,476.0
1.07,531.0
1.08,521.0
1.09,550.0
1.1,542.0
1.11,543.0
1.12,550.0
1.1300000000000001,552.0
1.1400000000000001,556.0
1.1500000000000001,567.0
1.16,571.0
1.17,577.0
1.18,586.0
1.19,595.0
1.2,606.0
1.21,618.0
1.22,632.0
1.23,650.0
1.24,665.0
1.25,679.0
1.26,690.0
1.27,694.0
1.28,691.0
1.29,676.0
1.3,643.0
1.31,609.0
1.32,578.0
1.33,560.0
1.34,553.0
1.35,543.0
1.36,542.0
1.37,541.0
1.3800000000000001,542.0
1.3900000000000001,544.0
1.4000000000000001,542.0
1.41,546.0
1.42,546.0
1.43,548.0
1.44,549.0
1.45,552.0
1.46,552.0
1.47,555.0
1.48,552.0
1.49,555.0
1.5,553.0
1.51,552.0
1.52,550.0
1.53,550.0
1.54,550.0
1.55,550.0
1.56,550.0
1.57,549.0
1.58,552.0
1.59,549.0
1.6,548.0
1.61,550.0
1.62,548.0
1.6300000000000001,549.0
1.6400000000000001,548.0
1.6500000000000001,552.0
1.6600000000000001,550.0
1.67,560.0
1.68,573.0
1.69,586.0
1.7,614.0
1.71,593.0
1.72,566.0
1.73,556.0
1.74,553.0
1.75,543.0
1.76,541.0
1.77,543.0
1.78,545.0
1.79,545.0
1.8,494.0
1.81,511.0
1.82,748.0
1.83,1024.0
1.84,1014.0
1.85,499.0
1.86,520.0
1.87,533.0
1.8800000000000001,545.0
1.8900000000000001,536.0
1.9000000000000001,543.0
1.9100000000000001,549.0
1.92,552.0
1.93,558.0
1.94,559.0
1.95,569.0
1.96,570.0
1.97,579.0
1.98,588.0
1.99,596.0
2.0,608.0
2.0100000000000002,628.0
2.02,641.0
2.0300000000000002,662.0
2.04,674.0
2.05,691.0
2.06,699.0
2.07,700.0
2.08,679.0
2.09,646.0
2.1,607.0
2.11,579.0
2.12,554.0
2.13,541.0
2.14,535.0
2.15,530.0
2.16,533.0
2.17,533.0
2.18,533.0
2.19,535.0
2.2,541.0
2.21,541.0
2.22,540.0
2.23,543.0
2.24,544.0
2.25,543.0
2.2600000000000002,545.0
2.27,545.0
2.2800000000000002,548.0
2.29,548.0
2.3000000000000003,552.0
2.31,553.0
2.32,549.0
2.33,553.0
2.34,552.0
2.35,550.0
2.36,550.0
2.37,554.0
2.38,552.0
2.39,556.0
2.4,553.0
