Time,ADC
0.0,547.0
0.01,601.0
0.02,544.0
0.03,595.0
0.04,537.0
0.05,585.0
0.06,528.0
0.07,569.0
0.08,514.0
0.09,562.0
0.1,511.0
0.11,561.0
0.12,513.0
0.13,566.0
0.14,522.0
0.15,567.0
0.16,525.0
0.17,568.0
0.18,523.0
0.19,571.0
0.2,528.0
0.21,569.0
0.22,532.0
0.23,567.0
0.24,531.0
0.25,569.0
0.26,532.0
0.27,569.0
0.28,540.0
0.29,577.0
0.3,545.0
0.31,586.0
0.32,553.0
0.33,568.0
0.34,545.0
0.35000000000000003,567.0
0.36,543.0
0.37,560.0
0.38,546.0
0.39,559.0
0.4,540.0
0.41000000000000003,560.0
0.42,541.0
0.43,558.0
0.44,543.0
0.45,541.0
0.46,565.0
0.47000000000000003,725.0
0.48,662.0
0.49,525.0
0.5,530.0
0.51,550.0
0.52,540.0
0.53,556.0
0.54,552.0
0.55,555.0
0.56,559.0
0.5700000000000001,555.0
0.58,560.0
0.59,561.0
0.6,566.0
0.61,562.0
0.62,569.0
0.63,565.0
0.64,574.0
0.65,568.0
0.66,579.0
0.67,567.0
0.68,579.0
0.6900000000000001,569.0
0.7000000000000001,582.0
0.71,567.0
0.72,578.0
0.73,554.0
0.74,566.0
0.75,535.0
0.76,553.0
0.77,530.0
0.78,548.0
0.79,526.0
0.8,552.0
0.81,523.0
0.8200000000000001,554.0
0.8300000000000001,528.0
0.84,556.0
0.85,526.0
0.86,561.0
0.87,529.0
0.88,560.0
0.89,532.0
0.9,567.0
0.91,532.0
0.92,566.0
0.93,529.0
0.9400000000000001,567.0
0.9500000000000001,524.0
0.96,564.0
0.97,522.0
0.98,567.0
0.99,522.0
1.0,571.0
1.01,532.0
1.02,580.0
1.03,537.0
1.04,589.0
1.05,533.0
1.06,574.0
1.07,525.0
1.08,572.0
1.09,523.0
1.1,574.0
1.11,522.0
1.12,574.0
1.1300000000000001,522.0
1.1400000000000001,574.0
1.1500000000000001,513.0
1.16,571.0
1.17,498.0
1.18,591.0
1.19,686.0
1.2,687.0
1.21,483.0
1.22,552.0
1.23,512.0
1.24,567.0
1.25,521.0
1.26,574.0
1.27,522.0
1.28,581.0
1.29,524.0
1.3,581.0
1.31,528.0
1.32,585.0
1.33,532.0
1.34,588.0
1.35,534.0
1.36,594.0
1.37,536.0
1.3800000000000001,597.0
1.3900000000000001,543.0
1.4000000000000001,600.0
1.41,550.0
1.42,604.0
1.43,547.0
1.44,598.0
1.45,536.0
1.46,583.0
1.47,521.0
1.48,567.0
1.49,510.0
1.5,560.0
1.51,510.0
1.52,561.0
1.53,513.0
1.54,567.0
1.55,516.0
1.56,565.0
1.57,518.0
1.58,568.0
1.59,518.0
1.6,567.0
1.61,522.0
1.62,567.0
1.6300000000000001,522.0
1.6400000000000001,568.0
1.6500000000000001,525.0
1.6600000000000001,567.0
1.67,523.0
1.68,568.0
1.69,526.0
1.7,565.0
1.71,526.0
1.72,562.0
1.73,528.0
1.74,562.0
1.75,525.0
1.76,569.0
1.77,540.0
1.78,572.0
1.79,545.0
1.8,585.0
1.81,544.0
1.82,566.0
1.83,543.0
1.84,560.0
1.85,537.0
1.86,556.0
1.87,541.0
1.8800000000000001,556.0
1.8900000000000001,543.0
1.9000000000000001,554.0
1.9100000000000001,541.0
1.92,554.0
1.93,528.0
1.94,590.0
1.95,717.0
1.96,654.0
1.97,509.0
1.98,530.0
1.99,542.0
2.0,547.0
2.0100000000000002,554.0
2.02,550.0
2.0300000000000002,553.0
2.04,555.0
2.05,559.0
2.06,559.0
2.07,567.0
2.08,558.0
2.09,567.0
2.1,559.0
2.11,566.0
2.12,559.0
2.13,576.0
2.14,562.0
2.15,580.0
2.16,567.0
2.17,586.0
2.18,562.0
2.19,580.0
2.2,566.0
2.21,576.0
2.22,546.0
2.23,561.0
2.24,526.0
2.25,552.0
2.2600000000000002,524.0
2.27,553.0
2.2800000000000002,523.0
2.29,553.0
2.3000000000000003,526.0
2.31,561.0
2.32,530.0
2.33,558.0
2.34,529.0
2.35,564.0
2.36,531.0
2.37,561.0
2.38,526.0
2.39,567.0
2.4,525.0
2.41,567.0
2.42,529.0
2.43,566.0
2.44,524.0
2.45,568.0
2.46,523.0
2.47,565.0
2.48,525.0
2.49,568.0
2.5,525.0
2.5100000000000002,569.0
2.52,524.0
2.5300000000000002,577.0
2.54,533.0
2.5500000000000003,590.0
2.56,542.0
2.57,586.0
2.58,530.0
2.59,580.0
2.6,520.0
2.61,579.0
2.62,524.0
2.63,579.0
2.64,521.0
2.65,577.0
2.66,522.0
2.67,578.0
2.68,518.0
2.69,554.0
2.7,604.0
2.71,748.0
2.72,586.0
2.73,537.0
2.74,511.0
2.75,568.0
2.7600000000000002,519.0
2.77,582.0
2.7800000000000002,525.0
2.79,584.0
2.8000000000000003,524.0
2.81,585.0
2.82,530.0
2.83,585.0
2.84,535.0
2.85,588.0
2.86,532.0
2.87,591.0
2.88,540.0
2.89,594.0
2.9,544.0
2.91,598.0
2.92,544.0
2.93,601.0
2.94,547.0
2.95,600.0
2.96,545.0
2.97,588.0
2.98,530.0
2.99,573.0
3.0,518.0
3.0100000000000002,562.0
3.02,516.0
3.0300000000000002,562.0
3.04,514.0
3.0500000000000003,562.0
3.06,520.0
3.0700000000000003,566.0
3.08,524.0
3.09,571.0
3.1,525.0
3.11,567.0
3.12,526.0
3.13,571.0
3.14,530.0
3.15,568.0
3.16,530.0
3.17,568.0
3.18,526.0
3.19,560.0
3.2,530.0
3.21,561.0
3.22,529.0
3.23,562.0
3.24,536.0
3.25,576.0
3.2600000000000002,543.0
3.27,584.0
3.2800000000000002,546.0
3.29,562.0
3.3000000000000003,542.0
3.31,559.0
3.3200000000000003,542.0
3.33,558.0
3.34,540.0
3.35,553.0
3.36,541.0
3.37,553.0
3.38,536.0
3.39,554.0
3.4,525.0
3.41,547.0
3.42,704.0
3.43,685.0
3.44,533.0
3.45,522.0
3.46,543.0
3.47,538.0
3.48,555.0
3.49,550.0
3.5,555.0
3.5100000000000002,552.0
3.52,555.0
3.5300000000000002,552.0
3.54,561.0
3.5500000000000003,554.0
3.56,567.0
3.5700000000000003,556.0
3.58,568.0
3.59,557.0
3.6,576.0
3.61,559.0
3.62,578.0
3.63,559.0
3.64,581.0
3.65,571.0
3.66,585.0
3.67,558.0
3.68,576.0
3.69,546.0
3.7,560.0
3.71,526.0
3.72,553.0
3.73,524.0
3.74,550.0
3.75,519.0
3.7600000000000002,552.0
3.77,517.0
3.7800000000000002,550.0
3.79,522.0
3.8000000000000003,558.0
3.81,521.0
3.8200000000000003,559.0
3.83,525.0
3.84,562.0
3.85,522.0
3.86,557.0
3.87,526.0
3.88,561.0
3.89,523.0
3.9,561.0
3.91,519.0
3.92,562.0
3.93,518.0
3.94,562.0
3.95,514.0
3.96,569.0
3.97,511.0
3.98,566.0
3.99,524.0
4.0,558.0
4.01,519.0
4.0200000000000005,579.0
4.03,525.0
4.04,586.0
4.05,532.0
4.0600000000000005,574.0
4.07,518.0
4.08,574.0
4.09,517.0
4.1,571.0
4.11,513.0
4.12,566.0
4.13,512.0
4.14,566.0
4.15,508.0
4.16,566.0
4.17,506.0
4.18,548.0
4.19,568.0
4.2,744.0
4.21,589.0
4.22,523.0
4.23,497.0
4.24,559.0
4.25,511.0
4.26,569.0
4.2700000000000005,516.0
4.28,570.0
4.29,516.0
4.3,572.0
4.3100000000000005,521.0
4.32,570.0
4.33,507.0
4.34,561.0
4.3500000000000005,521.0
4.36,570.0
4.37,511.0
4.38,560.0
4.39,513.0
4.4,556.0
4.41,506.0
4.42,559.0
4.43,509.0
4.44,552.0
4.45,494.0
4.46,542.0
4.47,485.0
4.48,541.0
4.49,500.0
4.5,547.0
4.51,499.0
4.5200000000000005,536.0
4.53,501.0
4.54,542.0
4.55,505.0
4.5600000000000005,545.0
4.57,510.0
4.58,556.0
4.59,523.0
4.6000000000000005,565.0
4.61,531.0
4.62,564.0
4.63,533.0
4.64,568.0
4.65,535.0
4.66,576.0
4.67,534.0
4.68,570.0
4.69,536.0
4.7,568.0
4.71,542.0
4.72,567.0
4.73,542.0
4.74,567.0
4.75,541.0
4.76,559.0
4.7700000000000005,555.0
4.78,567.0
4.79,562.0
4.8,585.0
4.8100000000000005,559.0
4.82,562.0
4.83,555.0
4.84,560.0
4.8500000000000005,548.0
4.86,560.0
4.87,558.0
4.88,556.0
4.89,555.0
4.9,554.0
4.91,553.0
4.92,546.0
4.93,535.0
4.94,559.0
4.95,724.0
4.96,673.0
4.97,533.0
4.98,521.0
4.99,535.0
5.0,526.0
5.01,558.0
5.0200000000000005,535.0
5.03,550.0
5.04,541.0
5.05,554.0
5.0600000000000005,541.0
5.07,560.0
5.08,545.0
5.09,569.0
5.1000000000000005,553.0
5.11,578.0
5.12,553.0
5.13,580.0
5.14,559.0
5.15,586.0
5.16,566.0
5.17,595.0
5.18,567.0
5.19,593.0
5.2,560.0
5.21,582.0
5.22,541.0
5.23,561.0
5.24,517.0
5.25,556.0
5.26,516.0
5.2700000000000005,546.0
5.28,512.0
5.29,554.0
5.3,511.0
5.3100000000000005,554.0
5.32,512.0
5.33,556.0
5.34,511.0
5.3500000000000005,556.0
5.36,512.0
5.37,556.0
5.38,509.0
5.39,557.0
5.4,509.0
5.41,555.0
5.42,507.0
5.43,552.0
5.44,508.0
5.45,553.0
5.46,505.0
5.47,550.0
5.48,505.0
5.49,553.0
5.5,513.0
5.51,560.0
5.5200000000000005,514.0
5.53,567.0
5.54,514.0
5.55,558.0
5.5600000000000005,508.0
5.57,552.0
5.58,501.0
5.59,549.0
5.6000000000000005,496.0
5.61,550.0
5.62,495.0
5.63,550.0
5.64,495.0
5.65,543.0
5.66,475.0
5.67,530.0
5.68,629.0
5.69,692.0
5.7,488.0
5.71,513.0
5.72,478.0
