Time,ADC
0.0,-5.14290982815783e-61
0.02,3.472788320280028e-62
0.04,9.120061934313464e-61
0.06,-8.618872993313245e-61
0.08,-9.168045359571264e-61
0.1,2.3817992103050607e-60
0.12,-4.0473481546310074e-61
0.14,-4.0102294178483926e-60
0.16,4.2516784094781664e-60
0.18,3.6271034710190787e-60
0.2,-1.0965596530047057e-59
0.22,2.9514334564895624e-60
0.24,1.7510393967984782e-59
0.26,-2.0734603768011393e-59
0.28,-1.3938219778790546e-59
0.3,5.019441206797646e-59
0.32,-1.8392801705303138e-59
0.34,-7.58791155994674e-59
0.36,1.00118176916328e-58
0.38,5.14128491939547e-59
0.4,-2.2845967212486147e-58
0.42,1.0575323064967702e-58
0.44,3.260739126911053e-58
0.46,-4.791878668110365e-58
0.48,-1.780894056346988e-58
0.5,1.0339545799379487e-57
0.52,-5.786520855175058e-58
0.54,-1.388173508076144e-57
0.56,2.275365102137026e-57
0.58,5.5217451397974874e-58
0.6,-4.6527495200565875e-57
0.62,3.0605866651068586e-57
0.64,5.847002684907488e-57
0.66,-1.0726013053669822e-56
0.68,-1.3260773967076157e-57
0.7,2.081534713446274e-56
0.72,-1.5789086283831184e-56
0.74,-2.432297527146347e-56
0.76,5.022155135979036e-56
0.78,6.127858985856181e-58
0.8,-9.256385064284294e-56
0.82,7.989539376052886e-56
0.84,9.968684298217064e-56
0.86,-2.3365556592830978e-55
0.88,2.184230177583884e-56
0.9,4.0903967245990245e-55
0.92,-3.980442974263164e-55
0.94,-4.011408486130119e-55
0.96,1.0804946786978259e-54
0.98,-2.1066094979350768e-55
1.0,-1.7955462826609937e-54
1.02,1.9576077687287765e-54
1.04,1.5767799608826944e-54
1.06,-4.9672868395457156e-54
1.08,1.4583732905206764e-54
1.1,7.825738345793076e-54
1.12,-9.521994785072571e-54
1.14,-6.005812825254083e-54
1.16,2.270509541231004e-53
1.18,-8.867835099684081e-54
1.2,-3.384376500881838e-53
1.22,4.5872093575933e-53
1.24,2.1865916704180214e-53
1.26,-1.0319598129170415e-52
1.28,5.025648628979501e-53
1.3,1.4511150336782235e-52
1.32,-2.1910313359556433e-52
1.34,-7.413252220730006e-53
1.36,4.663771538362431e-52
1.38,-2.7236283875066608e-52
1.4,-6.162128945867352e-52
1.42,1.0384380747285033e-51
1.44,2.202544553514267e-52
1.46,-2.095647435467716e-51
1.48,1.4306545510028157e-51
1.5,2.5879203259148203e-51
1.52,-4.8867016879670433e-51
1.54,-4.650047611286343e-52
1.56,9.36154510250724e-51
1.58,-7.341782597062915e-51
1.6,-1.0728344264594886e-50
1.62,2.2843494291250185e-50
1.64,-3.352611342906476e-52
1.66,-4.156566993852443e-50
1.68,3.6995490578278573e-50
1.7,4.378518674531702e-50
1.72,-1.0611548448123483e-49
1.74,1.2646300277431768e-50
1.76,1.8338032469496916e-49
1.78,-1.8368060299189492e-49
1.8,-1.7526172188889535e-49
1.82,4.899830983823282e-49
1.84,-1.0771217230097867e-49
1.86,-8.03582791314404e-49
1.88,9.007262731474655e-49
1.9,6.841316415916759e-49
1.92,-2.2493175246368917e-48
1.94,7.1513457307722e-49
1.96,3.495782621310685e-48
1.98,-4.370184963819876e-48
2.0,-2.5806903865261664e-48
2.02,1.026685847129584e-47
2.04,-4.2573287615539094e-48
2.06,-1.508699524780798e-47
2.08,2.1006439944047761e-47
2.1,9.25958044893778e-48
2.12,-4.659746435534176e-47
2.14,2.3817785396130823e-47
2.16,6.453963844933186e-47
2.18,-1.001339876860528e-46
2.2,-3.0620207726606164e-47
2.22,2.1028948699518686e-46
2.24,-1.279504970443684e-46
2.26,-2.733497307567536e-46
2.28,4.737149638236674e-46
2.3,8.626627424993407e-47
2.32,-9.435559134860925e-46
2.34,6.6778842162455116e-46
2.36,1.1445059588431409e-45
2.38,-2.225426550754487e-45
2.4,-1.493803588527567e-46
2.42,4.2086873089211054e-45
2.44,-3.410004978395223e-45
2.46,-4.727454520259685e-45
2.48,1.0386391846371255e-44
2.5,-4.281567485643072e-46
2.52,-1.8657587906578356e-44
2.54,1.711497823369192e-44
2.56,1.9208519342937326e-44
2.58,-4.817463068692902e-44
2.6,6.96749220466399e-45
2.62,8.217822750895229e-44
2.64,-8.469551053645532e-44
2.66,-7.6454517254096e-44
2.68,2.2211690829869263e-43
2.7,-5.431449112997551e-44
2.72,-3.594739802882542e-43
2.74,4.141640043485471e-43
2.76,2.9620608497648207e-43
2.78,-1.0181867603335419e-42
2.8,3.484104043098499e-43
2.82,1.560803512534854e-42
2.84,-2.0045609576215044e-42
2.86,-1.1055334929309707e-42
2.88,4.640857803502414e-42
2.9,-2.0361863907632285e-42
2.92,-6.721837881566045e-42
2.94,9.614587080559606e-42
2.96,3.901948864363364e-42
2.98,-2.1033317166000025e-41
3.0,1.1259763508986913e-41
3.02,2.8686766603343607e-41
3.04,-4.5741374414990064e-41
3.06,-1.2530490436824337e-41
3.08,9.478543707273879e-41
3.1,-6.000151554859468e-41
3.12,-1.2117024304953312e-40
3.14,2.160051754213948e-40
3.16,3.297337585750064e-41
3.18,-4.246750307312761e-40
3.2,3.11283529138852e-40
3.22,5.057305770322577e-40
3.24,-1.013055769189171e-39
3.26,-4.0019645208373125e-41
